# Time in Gyr = 0.240
#        num          x          y           z          vx           vy           vz
      0.000       7.041       3.915       0.000    -108.306     195.405       0.000
      1.000       2.386       6.554      -0.056    -225.321      69.374      -1.343
      2.000       7.716       2.854       0.451     -73.901     208.293      13.665
      3.000       2.186       6.949      -0.165    -215.576      68.305      -8.862
      4.000       8.384       1.580      -0.344     -40.771     214.547     -15.851
      5.000       4.057       6.109      -0.047    -197.978     116.330     -12.964
      6.000       6.978       4.060       0.021    -109.644     195.127      -3.183
      7.000       5.913       5.217      -0.136    -141.794     172.655      12.482
      8.000       6.878       4.203       0.134    -109.976     195.187      -8.572
      9.000       2.944       6.390      -0.412    -214.932      85.027      24.585
     10.000       3.047       6.926      -0.144    -196.347      96.349      24.985
     11.000       7.867      -3.850      -1.369     108.278     197.944      -9.201
     12.000       6.347       4.770      -0.154    -131.112     180.832      11.068
     13.000       4.933       5.981       0.042    -167.347     148.334       7.170
     14.000       7.901       2.609      -0.380     -67.608     210.400      -4.771
     15.000       8.161       2.205       0.228     -59.555     211.111      -1.853
     16.000       5.783       5.235       0.675    -147.215     164.244       5.640
     17.000       7.871       2.856      -0.077     -81.333     203.289       3.570
     18.000       8.791       1.051       0.047     -34.468     209.148      -0.642
     19.000       5.599       5.557      -0.002    -145.556     170.080      -0.637
     20.000       5.494       5.239      -0.776    -164.968     146.738     -23.734
     21.000       5.430       5.456      -0.032    -163.311     154.570      11.583
     22.000       8.515       1.034       0.247     -25.534     216.282      23.817
     23.000       6.834       4.197       0.242     -96.806     205.557      -7.961
     24.000       7.940       2.009      -0.059     -36.995     220.599     -43.104
     25.000       8.268      -4.970       0.011     117.933     180.375       7.441
     26.000       4.850       5.944      -0.260    -170.663     143.360      17.331
     27.000       8.839      -1.343       0.173      36.380     216.251       9.627
     28.000       6.928       4.098      -0.548    -106.826     193.908      -9.456
     29.000       8.306       1.966       0.364     -53.858     209.389      18.302
     30.000      -0.836       6.706      -0.165    -230.784     -27.220       4.004
     31.000       6.842       4.162       0.036    -100.847     203.434      -5.478
     32.000       8.415      -1.449      -0.132      50.778     224.235      27.432
     33.000       8.211       1.425       0.362     -23.874     217.661     -45.546
     34.000       6.700       4.325      -0.496    -122.466     183.904      -0.556
     35.000       8.786      -0.322      -0.106      10.316     219.600      -0.882
     36.000       3.937       6.298      -0.085    -193.804     116.419      20.201
     37.000       8.434       1.451      -0.060     -35.684     218.346       1.411
     38.000       4.706       6.078       0.043    -177.153     138.296       8.798
     39.000       4.650       6.048      -0.040    -181.364     134.935      -4.893
     40.000       4.755       6.063      -0.521    -169.576     141.214      12.015
     41.000       8.854      -0.980       0.190      27.193     217.379       7.821
     42.000       8.503      -2.474      -0.264      70.952     213.092      23.816
     43.000       5.568       5.467       0.383    -153.808     160.743     -11.696
     44.000       4.675       6.226       0.128    -167.017     144.272     -17.980
     45.000       2.608       6.780      -0.134    -213.700      79.060     -13.318
     46.000       0.817       6.970      -0.130    -225.498      24.985     -27.139
     47.000      -1.105       6.151      -0.327    -240.300     -44.625     -19.265
     48.000       5.588       5.456       0.013    -154.414     162.830       4.810
     49.000       8.390       1.878      -0.145     -55.049     208.542       2.413
     50.000       7.738       2.916      -0.442     -81.017     203.327      -9.092
     51.000       4.413       6.396      -0.082    -172.869     136.562      18.264
     52.000       5.020       5.831      -0.086    -165.954     149.740      15.352
     53.000       7.863       2.554       0.424     -61.803     213.625      15.780
     54.000       6.275       4.604      -0.416    -152.449     161.663       7.420
     55.000       8.514       1.834      -0.357     -57.837     202.467     -18.263
     56.000       8.411       0.534       0.071      -1.678     223.681     -35.975
     57.000       5.545       5.301       0.012    -165.930     153.571       2.323
     58.000       5.999       5.065      -0.333    -147.810     166.544      10.975
     59.000       8.776       0.572       0.162     -16.184     215.531       0.673
     60.000       7.974       2.420       0.395     -59.342     214.135       9.284
     61.000       8.721       0.105       0.205       0.287     218.968      20.144
     62.000       2.413       6.800       0.128    -215.865      73.229      16.153
     63.000       5.473       5.346       0.007    -167.815     151.988       1.809
     64.000       9.001      -1.126      -1.136      31.400     205.220      22.625
     65.000       8.366       1.901       0.227     -55.647     204.471      31.712
     66.000       7.954       2.758       0.351     -78.717     202.488       1.234
     67.000       8.615       1.125       0.297     -32.366     212.046      18.554
     68.000       3.654       6.724      -0.100    -189.922     114.139      -9.480
     69.000       7.941       2.714      -0.120     -77.221     196.754     -44.063
     70.000       2.435       6.550       0.027    -221.924      70.348     -25.822
     71.000       3.152       6.298       0.032    -217.283      90.452       1.438
     72.000       3.763       6.640       0.466    -185.472     116.014     -18.978
     73.000       7.942       2.589      -0.024     -69.463     200.976     -46.700
     74.000       8.965      -2.538       0.076      61.634     203.986      14.261
     75.000       7.974       2.072      -0.289     -44.952     218.547     -31.078
     76.000       8.376      -3.203      -0.032      85.445     206.769      17.765
     77.000       8.228       1.161      -0.222     -18.928     228.726      -1.037
     78.000       6.883       4.080      -0.586    -115.397     185.506     -21.046
     79.000       7.268       3.650      -0.506     -93.425     198.531     -27.347
     80.000       6.369       4.614      -0.011    -147.167     167.725       4.891
     81.000       3.451       6.697       0.011    -196.264     107.849       0.209
     82.000       7.677       2.554       0.313     -54.133     223.090       0.231
     83.000       3.247       6.312       0.036    -213.908      92.655      19.072
     84.000       6.115       5.057       0.001    -131.674     181.962      -5.730
     85.000       4.978       5.873      -0.711    -164.888     145.718       0.861
     86.000       3.384       6.679      -0.606    -194.226     103.052      17.194
     87.000       6.255       4.856       0.059    -131.684     181.366      -9.565
     88.000       5.320       5.533       0.015    -168.556     150.569       2.480
     89.000       5.216       5.636      -0.740    -164.520     147.341      -4.922
     90.000       5.144       5.434      -0.227    -180.942     138.509      16.099
     91.000       8.790      -0.395       0.193      15.624     216.549     -31.890
     92.000       7.949       2.157      -0.397     -49.598     218.641     -14.808
     93.000       8.755       0.939      -0.092     -28.212     208.549     -31.212
     94.000       8.178       2.029       0.273     -49.200     213.012      30.441
     95.000       5.044       5.632       0.053    -177.430     141.308     -14.501
     96.000       8.902      -1.254       0.046      33.034     215.711       0.673
     97.000       7.000       4.033      -0.191    -123.576     181.947       8.734
     98.000       7.848       3.022       0.077     -87.897     199.607      -3.821
     99.000       8.640       0.796      -0.908     -15.647     208.002      39.833
