# Time in Gyr = 0.200
#        num          x          y           z          vx           vy           vz
      0.000       6.571      -4.601       0.000     129.541     183.181       0.000
      1.000       7.585      -0.270       0.062      -3.029     216.641      -0.843
      2.000       5.844      -5.581      -0.448     157.386     160.791      13.377
      3.000       7.280      -0.108       0.218       2.636     226.217       1.532
      4.000       5.362      -6.465       0.441     174.059     137.601      -8.446
      5.000       7.634      -1.525       0.190      37.171     212.827       6.633
      6.000       6.495      -4.630       0.028     131.856     184.206       3.076
      7.000       6.832      -3.469      -0.080     104.658     204.569     -14.355
      8.000       6.411      -4.553       0.036     132.743     187.221      11.489
      9.000       7.614      -0.604      -0.102       8.185     212.577     -32.526
     10.000       7.120      -0.655      -0.234      26.935     229.733     -23.448
     11.000       0.429      -8.794       0.341     223.553      18.901     -55.419
     12.000       6.792      -3.885      -0.060     113.198     196.302     -13.786
     13.000       7.065      -2.520      -0.108      78.824     217.128      -3.987
     14.000       5.862      -5.752       0.261     158.964     157.685     -14.532
     15.000       5.864      -6.021      -0.081     161.375     150.521      11.104
     16.000       7.034      -3.136      -0.415      95.048     202.206      27.284
     17.000       6.421      -5.445      -0.014     144.811     162.566      -5.390
     18.000       5.860      -6.549      -0.008     167.158     133.134       2.353
     19.000       6.645      -3.316       0.008     106.299     211.981       0.427
     20.000       7.511      -2.658       0.790      72.956     196.599     -24.964
     21.000       7.320      -2.828      -0.129      79.150     205.823      -8.880
     22.000       4.991      -6.763      -0.557     181.818     127.919       2.587
     23.000       5.675      -4.900      -0.052     153.589     186.512      16.320
     24.000       4.584      -6.307       0.829     185.546     142.998      12.725
     25.000       0.751      -9.220      -0.160     224.530       9.730      -1.596
     26.000       7.206      -2.321      -0.092      70.344     214.598     -22.538
     27.000       3.425      -8.062      -0.250     207.463      84.007       3.892
     28.000       6.365      -4.538       0.421     134.689     183.820     -19.357
     29.000       5.771      -6.154      -0.499     164.721     144.076       8.667
     30.000       6.574       2.228       0.130     -79.682     211.871      -8.145
     31.000       5.837      -4.868       0.036     149.109     186.015       5.672
     32.000       2.301      -8.225      -0.500     217.590      74.371     -14.076
     33.000       4.631      -6.511       0.891     184.442     133.959      26.062
     34.000       6.908      -4.022       0.237     113.990     188.652     -22.343
     35.000       4.128      -7.600       0.065     198.118     103.454      -4.309
     36.000       7.434      -1.496      -0.201      41.531     217.500     -16.624
     37.000       5.199      -6.663       0.011     178.084     135.926      -3.396
     38.000       7.337      -2.180      -0.132      64.360     216.303      -4.764
     39.000       7.452      -2.135       0.085      60.187     214.156       2.105
     40.000       7.143      -2.217       0.093      71.162     215.836     -30.992
     41.000       3.669      -7.917      -0.223     204.664      90.176       5.092
     42.000       1.936      -8.563      -0.452     219.456      55.844     -16.870
     43.000       7.103      -3.005      -0.031      89.297     206.583      24.352
     44.000       6.926      -2.239       0.146      75.924     222.997      18.416
     45.000       7.405      -0.329       0.245       6.815     223.228       4.844
     46.000       7.028       1.046       0.392     -36.414     221.093      14.523
     47.000       6.681       2.059       0.451     -86.946     201.836       5.194
     48.000       7.065      -3.092      -0.065      91.459     208.003      -3.098
     49.000       6.103      -6.051       0.024     157.801     147.169      -7.674
     50.000       6.335      -5.283       0.349     144.643     165.041     -16.009
     51.000       7.001      -1.934      -0.175      66.814     225.556     -16.637
     52.000       7.084      -2.553      -0.137      78.216     214.500     -14.235
     53.000       5.517      -5.871      -0.471     166.754     155.658      11.164
     54.000       7.758      -3.346       0.070      81.291     186.173     -22.029
     55.000       6.305      -6.016       0.497     154.466     142.841      -9.673
     56.000       3.970      -7.168       0.694     198.386     115.951      13.659
     57.000       7.514      -2.905      -0.037      76.301     200.922      -1.107
     58.000       7.224      -3.387       0.012      94.317     197.737     -21.159
     59.000       5.026      -7.041      -0.084     183.582     120.998       6.912
     60.000       5.562      -5.982      -0.347     166.869     153.356      12.811
     61.000       4.447      -7.289      -0.467     192.869     113.258       2.447
     62.000       7.369      -0.202      -0.271       2.739     223.088      -6.958
     63.000       7.531      -2.826      -0.027      73.961     201.829      -0.936
     64.000       3.950      -7.735      -0.602     198.403      88.037     -45.699
     65.000       6.129      -5.888      -0.734     155.613     146.847       2.800
     66.000       6.415      -5.511      -0.180     146.151     159.343      14.931
     67.000       5.485      -6.575      -0.473     173.007     132.294       6.919
     68.000       7.171      -1.210       0.173      42.854     228.986       3.747
     69.000       6.390      -5.328       0.981     143.502     157.623       3.912
     70.000       7.532      -0.330       0.284      -0.166     215.722      17.795
     71.000       7.700      -0.849      -0.042      13.095     213.318       0.126
     72.000       7.158      -1.239       0.033      44.924     225.263      33.460
     73.000       6.132      -5.432       1.006     149.183     157.496       7.948
     74.000       2.934      -8.462      -0.319     213.087      62.069      -0.620
     75.000       4.949      -6.227       0.687     179.140     145.604      -0.204
     76.000       1.660      -8.734      -0.356     221.011      45.365      -6.029
     77.000       4.244      -7.005       0.143     194.471     127.644      -9.086
     78.000       6.769      -4.199       0.631     120.537     183.363     -17.608
     79.000       6.152      -4.892       0.714     144.093     175.377     -10.656
     80.000       7.576      -3.506      -0.063      88.683     189.567      -3.314
     81.000       7.236      -1.124      -0.011      37.115     227.293       0.188
     82.000       4.885      -6.104      -0.188     179.655     154.425      13.635
     83.000       7.680      -0.900      -0.254      15.606     213.146     -10.738
     84.000       6.519      -3.831       0.063     118.634     203.095       4.506
     85.000       7.125      -2.374       0.335      76.232     212.350     -32.402
     86.000       7.263      -0.903       0.057      32.392     222.572     -38.195
     87.000       6.690      -3.866       0.082     114.908     198.722       9.114
     88.000       7.441      -2.709      -0.040      73.779     206.128      -1.168
     89.000       7.249      -2.640       0.456      79.264     205.028     -29.706
     90.000       7.862      -2.338      -0.116      54.290     199.537     -18.303
     91.000       4.020      -7.536       0.661     198.800     102.293      14.292
     92.000       5.142      -6.165       0.441     175.534     148.352     -10.382
     93.000       5.454      -6.665       0.699     174.091     126.856       2.915
     94.000       5.474      -6.113      -0.693     169.529     147.178       1.929
     95.000       7.596      -2.382       0.161      61.648     206.043      10.992
     96.000       3.646      -8.008      -0.032     205.165      87.471       1.764
     97.000       7.282      -4.166      -0.047     108.084     181.529     -12.911
     98.000       6.649      -5.320       0.019     139.100     164.221       5.376
     99.000       5.082      -6.669      -0.940     176.720     124.194     -39.569
