# Time in Gyr = 0.400
#        num          x          y           z          vx           vy           vz
      0.000       2.500      -7.659       0.000     212.589      68.837       0.000
      1.000       6.876       0.162       0.048      -8.443     238.678      -2.369
      2.000       0.503      -8.186       0.230     221.564       8.731     -23.627
      3.000       7.290       0.110       0.216      -2.606     225.871       2.143
      4.000      -1.837      -8.310      -0.348     213.076     -50.521      15.605
      5.000       6.692      -2.772       0.103      79.480     218.412      11.727
      6.000       2.717      -7.584      -0.034     212.319      72.464       2.860
      7.000       4.774      -6.264       0.215     182.627     129.194      -8.267
      8.000       2.898      -7.477      -0.194     212.654      74.179       3.785
      9.000       6.841      -0.854       0.528      23.012     234.458     -14.019
     10.000       7.460      -1.613       0.271      51.590     210.514     -21.100
     11.000      -8.605      -1.182      -1.232      40.583    -223.848     -23.306
     12.000       4.036      -6.823       0.229     194.442     110.545      -5.915
     13.000       6.159      -4.742      -0.058     142.030     171.907      -6.807
     14.000       0.037      -8.306       0.039     221.429      -1.646      19.877
     15.000      -0.505      -8.457      -0.173     218.509     -12.581      -7.861
     16.000       5.003      -6.023      -0.153     169.490     139.816     -34.407
     17.000       0.827      -8.385       0.099     215.954      26.203      -1.297
     18.000      -2.205      -8.659      -0.045     203.664     -50.482      -1.022
     19.000       5.229      -5.893       0.003     178.180     135.988       0.702
     20.000       5.481      -5.182      -0.331     141.836     170.639      44.802
     21.000       5.561      -5.301       0.042     151.349     166.871     -11.471
     22.000      -2.662      -8.096       0.552     206.997     -72.366      -5.348
     23.000       2.132      -7.525      -0.270     228.880      41.644      -5.282
     24.000      -1.562      -7.775      -0.749     223.406     -56.694     -23.341
     25.000      -9.194      -1.161       0.151      19.399    -223.549       3.117
     26.000       6.261      -4.445       0.374     131.113     180.051      -9.112
     27.000      -6.188      -6.301       0.211     154.956    -159.062      -7.470
     28.000       2.789      -7.532      -0.037     210.663      69.691      29.499
     29.000      -0.965      -8.501       0.405     214.205     -25.242     -16.496
     30.000       5.036       4.655      -0.018    -150.324     172.895     -11.906
     31.000       2.200      -7.542      -0.076     226.314      47.548       3.878
     32.000      -6.882      -4.878       0.255     139.082    -186.317      25.275
     33.000      -2.256      -7.855      -0.472     212.056     -68.949     -44.482
     34.000       3.391      -7.243       0.239     198.047      96.587      22.249
     35.000      -4.830      -7.265       0.026     182.388    -125.867       5.332
     36.000       6.851      -2.786       0.124      82.715     211.432     -19.446
     37.000      -2.195      -8.233       0.060     214.016     -59.843       1.390
     38.000       6.453      -4.182      -0.070     122.847     188.069      -8.178
     39.000       6.415      -4.100       0.063     119.179     192.614       3.917
     40.000       6.318      -4.448       0.539     130.058     177.452      10.528
     41.000      -5.834      -6.594       0.164     162.679    -150.635      -9.024
     42.000      -7.797      -3.987       0.081     105.168    -201.138      27.153
     43.000       5.332      -5.701      -0.436     163.728     150.552      -4.179
     44.000       6.437      -4.463      -0.240     136.562     171.669      13.702
     45.000       7.226      -0.482       0.209      14.136     228.086       8.813
     46.000       6.608       2.369       0.225     -76.121     213.647      24.510
     47.000       3.796       5.356       0.441    -176.085     153.995      -1.957
     48.000       5.323      -5.717      -0.019     166.371     150.487      -4.724
     49.000      -0.752      -8.634       0.142     213.314     -14.775       2.758
     50.000       0.927      -8.251      -0.051     216.345      26.149      24.007
     51.000       6.732      -4.001       0.171     122.778     180.837     -15.942
     52.000       6.023      -4.815       0.142     143.239     170.998     -13.796
     53.000      -0.256      -8.180       0.322     224.202     -15.166     -20.472
     54.000       4.544      -6.248       0.406     163.005     153.610       6.587
     55.000      -0.801      -8.781      -0.394     207.171     -13.192      17.258
     56.000      -3.944      -7.222      -0.531     198.618    -113.588     -25.539
