# Time in Gyr = 0.690
#        num          x          y           z          vx           vy           vz
      0.000       6.418       4.804       0.000    -133.813     180.369       0.000
      1.000      -6.653       1.818       0.052     -56.959    -231.319      -2.036
      2.000       7.912       1.563      -0.519     -44.524     220.992      -3.119
      3.000      -6.956       2.189       0.130     -68.394    -215.321      11.012
      4.000       7.988      -2.181       0.366      60.624     216.744      14.825
      5.000      -4.170       6.133      -0.165    -180.031    -138.502       8.834
      6.000       6.299       4.893      -0.014    -139.316     178.648      -3.332
      7.000       2.926       7.098      -0.091    -210.865      90.317      14.060
      8.000       6.252       4.786       0.162    -140.977     180.826      -7.152
      9.000      -6.047       3.455      -0.308    -107.036    -207.307      29.825
     10.000      -5.962       4.654       0.170    -140.914    -167.317      24.646
     11.000      -6.234      -7.393       0.530     150.389    -138.359     -48.758
     12.000       4.023       6.712      -0.139    -193.428     117.904      11.721
     13.000      -0.691       7.544       0.112    -228.257     -14.187      -3.663
     14.000       8.145       0.742       0.278     -19.489     224.043     -13.715
     15.000       8.258       0.483       0.135      -7.884     224.043       9.744
     16.000       1.749       7.546      -0.328    -215.165      54.726      30.482
     17.000       7.710       3.086      -0.069     -73.833     208.112       3.928
     18.000       8.044      -1.715       0.045      63.894     219.480       0.852
     19.000       2.188       7.131      -0.012    -223.800      75.492       0.059
     20.000      -0.386       7.785       0.923    -213.387     -21.693     -11.237
     21.000       0.253       7.803       0.180    -221.569       3.397       5.317
     22.000       7.413      -3.761       0.077     102.218     200.195     -27.217
     23.000       7.231       2.504       0.211     -94.505     217.708      10.122
     24.000       7.511      -3.316      -0.895      71.800     211.314      -5.924
     25.000      -7.654      -5.963       0.163     136.758    -164.951      -2.090
     26.000      -1.476       7.480      -0.231    -220.747     -39.914      18.589
     27.000       2.425      -8.479      -0.141     212.369      65.745     -10.768
     28.000       6.146       4.810       0.510    -139.675     180.482     -12.439
     29.000       8.225      -0.343      -0.410      16.222     223.628     -16.216
     30.000      -3.996      -5.690      -0.115     180.645    -135.903      -9.084
     31.000       7.069       3.078       0.039    -105.856     210.182      -5.589
     32.000       0.717      -9.437       0.429     206.389      18.012      18.819
     33.000       7.245      -3.873      -0.570      92.529     201.925     -40.602
     34.000       4.757       6.438      -0.027    -175.517     132.901     -25.903
     35.000       5.234      -6.837       0.052     176.715     138.455      -4.772
     36.000      -4.180       6.171       0.254    -183.571    -130.642      13.824
     37.000       7.868      -2.994      -0.055      79.094     210.517      -1.832
     38.000      -2.004       7.402       0.127    -217.685     -57.898      -5.125
     39.000      -2.079       7.400      -0.039    -214.920     -64.013       4.952
     40.000      -1.407       7.458      -0.516    -221.112     -35.689     -12.783
     41.000       3.177      -8.147      -0.197     206.269      85.311      -7.288
     42.000      -1.730      -9.215       0.125     208.455     -38.455      25.463
     43.000       1.380       7.608       0.437    -220.532      42.456       2.947
     44.000      -1.244       7.378       0.001    -228.337     -24.001     -20.100
     45.000      -6.584       3.046      -0.028     -94.095    -207.815      15.686
     46.000      -6.736      -1.976      -0.360      61.289    -218.383      16.935
     47.000      -2.197      -6.613       0.414     200.790     -90.863      13.327
     48.000       1.385       7.603       0.081    -222.779      42.521      -0.808
     49.000       8.281       0.573      -0.145      -2.192     223.626      -1.911
     50.000       7.616       2.956       0.396     -73.739     209.005     -12.735
     51.000      -2.313       7.166       0.139    -220.456     -55.917      17.624
     52.000      -0.536       7.571       0.125    -226.287     -11.882      14.615
     53.000       8.135      -0.146      -0.449      -3.030     225.961     -13.274
     54.000       1.586       8.165      -0.453    -205.253      25.336      -0.157
     55.000       8.260       0.956       0.489      -5.590     220.844      10.749
     56.000       5.683      -6.582      -0.705     155.218     151.397     -14.225
     57.000       0.024       7.944       0.028    -217.875      -9.055      -1.928
     58.000       2.160       7.674      -0.392    -211.411      58.320       3.099
     59.000       7.066      -4.395      -0.019     124.368     191.711       8.355
     60.000       8.201      -0.492      -0.434       9.198     225.161       1.661
     61.000       5.868      -6.210       0.093     160.290     155.748     -22.263
     62.000      -6.780       2.433       0.107     -75.823    -215.455     -16.908
     63.000      -0.209       7.913       0.020    -217.957     -16.099      -1.394
     64.000       2.642      -7.824      -1.176     214.375      77.723      12.107
     65.000       8.210       0.289       0.134       7.560     221.518     -33.996
     66.000       7.886       2.629       0.007     -59.556     212.011      18.065
     67.000       7.904      -2.305      -0.308      71.002     215.008     -18.876
     68.000      -4.441       6.111      -0.080    -187.882    -122.860      10.071
     69.000       7.637       3.055      -0.616     -65.864     205.670      32.859
     70.000      -6.602       1.967      -0.405     -61.564    -227.751      -0.728
     71.000      -5.987       3.602      -0.039    -110.094    -210.074       0.007
     72.000      -4.605       6.014       0.564    -181.059    -125.688      -9.232
     73.000       7.824       2.003      -0.898     -43.601     215.893      19.673
     74.000      -0.854      -8.796       0.214     224.447     -11.949     -11.169
     75.000       7.908      -2.206      -0.381      49.484     218.304      28.460
     76.000      -3.037      -8.820       0.390     203.239     -70.337       2.787
     77.000       6.765      -5.670       0.170     128.548     173.682      -7.704
     78.000       5.370       5.879       0.717    -159.590     150.759       7.254
     79.000       7.162       3.263       0.319     -95.446     205.529      33.969
     80.000       2.064       8.043       0.088    -205.826      44.480      -0.035
     81.000      -4.925       5.645      -0.013    -173.848    -143.168      -0.143
     82.000       8.060      -1.927      -0.194      32.227     221.844      13.484
     83.000      -5.571       4.364       0.283    -132.445    -192.608      -7.508
     84.000       4.327       6.200      -0.069    -192.848     134.695      -4.212
     85.000      -0.675       7.599       0.017    -221.685     -13.610     -37.615
     86.000      -5.201       5.367      -0.688    -159.999    -151.345      -5.645
     87.000       3.937       6.651      -0.039    -196.925     117.759     -10.195
     88.000      -0.378       7.834       0.026    -220.482     -17.030      -2.102
     89.000      -0.090       7.746       0.323    -218.938      -1.613     -34.407
     90.000      -1.711       7.624      -0.012    -206.836     -69.300      20.152
     91.000       4.408      -7.383      -0.568     187.120     119.830     -20.316
     92.000       8.047      -1.673       0.403      35.087     221.915      13.547
     93.000       7.742      -2.567      -0.433      84.382     211.215      24.074
     94.000       8.104      -1.277       0.270      34.143     221.842     -30.927
     95.000      -1.420       7.642      -0.220    -214.227     -52.153      -6.929
     96.000       2.808      -8.266      -0.037     211.230      76.376       1.448
     97.000       4.766       6.910      -0.160    -172.053     122.352      10.088
     98.000       7.679       3.338       0.068     -76.918     205.105      -4.132
     99.000       7.026      -3.965      -0.306     117.029     191.455      57.070
