# Time in Gyr = 0.380
#        num          x          y           z          vx           vy           vz
      0.000      -1.937      -7.803       0.000     217.073     -54.963       0.000
      1.000       5.576      -4.356       0.044     130.913     192.310       2.629
      2.000      -3.873      -7.122       0.522     195.341    -110.221      -2.933
      3.000       5.905      -4.258       0.031     132.643     183.263      13.492
      4.000      -5.756      -6.155      -0.470     158.589    -154.164      -4.582
      5.000       3.925      -6.386      -0.149     184.152     128.878       9.812
      6.000      -1.812      -7.788      -0.060     219.624     -53.319      -0.606
      7.000       0.528      -7.712       0.229     227.641       9.815       7.114
      8.000      -1.702      -7.707      -0.145     222.440     -53.149      -8.144
      9.000       5.033      -5.093       0.436     148.627     172.187      21.833
     10.000       5.206      -5.331       0.466     166.302     147.354       3.447
     11.000      -8.336       3.350      -0.416     -66.160    -210.242     -52.742
     12.000      -0.366      -7.849       0.198     225.265     -13.224       8.739
     13.000       2.353      -7.237       0.087     218.799      63.323      -5.571
     14.000      -4.255      -7.054      -0.313     189.362    -118.276      11.488
     15.000      -4.698      -7.012       0.049     180.550    -125.232     -11.665
     16.000       0.960      -7.707       0.493     220.395      22.741     -23.478
     17.000      -3.501      -7.702       0.069     196.496     -91.120       3.997
     18.000      -5.860      -6.631      -0.007     152.348    -147.562      -2.438
     19.000       0.962      -7.505      -0.010     232.487      17.043       0.413
     20.000       1.848      -7.578      -0.927     205.401      61.529      10.952
     21.000       1.720      -7.596       0.198     215.710      53.339      -2.301
     22.000      -6.358      -5.547       0.421     142.584    -169.489      17.477
     23.000      -2.615      -7.036      -0.024     223.764     -90.568     -16.489
     24.000      -5.610      -5.449      -0.001     162.853    -167.228     -44.753
     25.000      -8.499       3.352       0.033     -86.785    -210.242       7.622
     26.000       2.662      -7.146       0.320     210.933      76.155      14.014
     27.000      -8.426      -2.345       0.247      57.209    -216.772       4.295
     28.000      -1.760      -7.671      -0.509     219.127     -56.952      12.430
     29.000      -4.998      -6.863       0.529     172.703    -132.051       5.047
     30.000       6.750       0.375       0.168     -11.120     232.058      -3.396
     31.000      -2.480      -7.190      -0.090     223.341     -82.906      -2.763
     32.000      -8.622      -0.597      -0.297      29.488    -225.340      24.302
     33.000      -5.993      -5.344       0.507     146.805    -172.966     -43.334
     34.000      -0.890      -7.974      -0.253     218.151     -25.449      21.814
     35.000      -7.733      -3.865      -0.076      96.770    -201.581       3.865
     36.000       3.993      -6.319       0.353     187.385     123.908      -0.885
     37.000      -6.075      -5.893       0.005     153.886    -162.389       3.460
     38.000       2.961      -7.076       0.105     208.146      86.015      -6.743
     39.000       3.005      -7.076      -0.040     205.072      90.935       4.892
     40.000       2.728      -7.114       0.076     210.636      73.787      30.877
     41.000      -8.257      -2.777       0.245      67.977    -213.491       1.727
     42.000      -8.836       0.505      -0.429      -5.972    -224.615      18.598
     43.000       1.359      -7.646      -0.141     220.527      36.825     -22.826
     44.000       2.779      -6.989      -0.330     217.256      70.543      -5.811
     45.000       5.525      -4.760      -0.076     145.522     174.148      15.049
     46.000       6.668      -2.180      -0.312      70.270     215.789      20.441
     47.000       6.155       1.166       0.126     -41.969     240.253      29.290
     48.000       1.302      -7.638       0.067     223.406      35.267      -2.825
     49.000      -4.789      -7.209       0.027     175.546    -122.676       7.612
     50.000      -3.344      -7.582      -0.428     198.567     -90.855      10.630
     51.000       3.283      -6.777       0.331     210.673      85.528       1.684
     52.000       2.229      -7.269       0.278     217.625      61.787       1.826
     53.000      -4.549      -6.660       0.521     186.694    -130.678       2.265
     54.000       0.673      -8.207       0.082     206.178      36.075      22.188
     55.000      -4.809      -7.373      -0.550     170.362    -119.278      -3.011
     56.000      -7.227      -3.913       0.162     111.647    -200.030     -35.912
     57.000       1.674      -7.721       0.025     211.769      57.380      -1.963
     58.000       0.706      -7.924       0.158     218.524      23.247      19.147
     59.000      -6.784      -5.405       0.088     130.463    -176.284      -6.705
     60.000      -4.744      -6.662       0.416     182.785    -133.572      -5.495
     61.000      -7.300      -4.445       0.352     113.602    -192.375      14.812
     62.000       5.690      -4.484       0.130     137.773     180.520     -16.281
     63.000       1.748      -7.683       0.019     211.378      59.891      -1.453
     64.000      -8.049      -3.028      -1.241      63.206    -210.138       2.572
     65.000      -4.776      -7.143       0.529     172.875    -121.766      22.943
     66.000      -3.747      -7.644       0.190     191.452     -97.323     -14.637
     67.000      -5.956      -6.219       0.477     151.367    -154.836       7.393
     68.000       4.410      -6.080      -0.068     189.131     123.368      10.402
     69.000      -3.430      -7.726      -0.479     190.871     -86.615     -37.917
     70.000       5.502      -4.435      -0.389     133.545     187.566       8.841
     71.000       4.921      -5.259      -0.018     154.354     171.109      -2.187
     72.000       4.448      -6.075      -0.327     184.246     123.448     -26.797
     73.000      -3.924      -7.341      -0.273     186.301    -104.153     -44.791
     74.000      -8.805      -1.060       0.174      16.622    -223.427      12.668
     75.000      -5.397      -5.861      -0.407     169.855    -155.683     -27.528
     76.000      -8.894       0.989      -0.032     -19.534    -223.346      17.801
     77.000      -6.761      -4.589      -0.171     136.843    -188.763       7.420
     78.000      -1.366      -7.893      -0.738     214.713     -38.839       1.000
     79.000      -2.681      -7.453      -0.699     210.278     -80.704     -13.694
     80.000       0.449      -8.199       0.081     211.714      24.967      -1.858
     81.000       4.590      -5.876      -0.008     182.196     134.233      -0.546
     82.000      -5.022      -5.934       0.215     183.404    -151.813     -12.133
     83.000       4.735      -5.502       0.249     160.904     161.736     -11.387
     84.000      -0.285      -7.632      -0.096     232.380     -17.676       0.977
     85.000       2.335      -7.267      -0.354     213.527      60.805      31.437
     86.000       4.809      -5.718       0.212     170.834     139.193      35.647
     87.000      -0.247      -7.766      -0.175     227.987     -11.949      -2.161
     88.000       2.037      -7.543       0.024     212.336      64.783      -2.196
     89.000       1.968      -7.477      -0.526     212.281      55.032      26.615
     90.000       2.552      -7.393       0.324     197.606      92.071       8.329
     91.000      -7.765      -3.610       0.220      89.366    -204.408     -32.092
     92.000      -5.203      -6.103      -0.482     174.721    -149.641      -2.854
     93.000      -6.057      -6.248      -0.354     146.488    -154.661     -27.145
     94.000      -5.112      -6.475       0.470     173.390    -140.642      24.313
     95.000       2.445      -7.367      -0.253     205.507      80.824       2.180
     96.000      -8.369      -2.624       0.039      61.991    -214.910      -1.303
     97.000      -0.988      -8.300       0.176     211.322     -18.191       9.251
     98.000      -3.351      -7.876      -0.074     196.577     -84.755      -3.940
     99.000      -6.361      -5.535      -1.078     129.998    -171.375      30.561
