# Time in Gyr = 0.280
#        num          x          y           z          vx           vy           vz
      0.000      -0.432       8.028       0.000    -223.530     -13.033       0.000
      1.000      -6.102       3.589       0.045    -130.819    -192.235       2.736
      2.000       1.178       8.217       0.103    -216.934      30.181     -25.918
      3.000      -5.922       4.300       0.040    -132.570    -181.924      13.342
      4.000       2.644       8.007      -0.194    -211.106      65.440      21.336
      5.000      -4.835       5.335      -0.077    -178.436    -150.899      12.584
      6.000      -0.557       8.137      -0.058    -221.027     -15.189       1.141
      7.000      -2.158       7.763       0.267    -210.365     -59.096      -1.260
      8.000      -0.667       8.250      -0.211    -217.429     -16.728      -0.879
      9.000      -5.620       4.150       0.580    -148.581    -179.212      -1.339
     10.000      -5.119       5.582       0.452    -155.969    -152.916      -7.981
     11.000       8.211       4.676      -0.279     -89.853     189.263      52.752
     12.000      -1.606       7.846       0.256    -216.755     -45.103       0.087
     13.000      -3.427       7.133       0.062    -196.655     -96.282      -6.554
     14.000       1.526       8.190       0.071    -217.401      38.252      19.572
     15.000       1.921       8.038      -0.143    -219.493      46.816      -9.235
     16.000      -2.339       7.433      -0.195    -209.456     -69.904     -33.731
     17.000       0.901       7.965       0.097    -227.929      18.687       1.041
     18.000       3.262       7.543      -0.034    -216.022      75.253      -1.740
     19.000      -2.390       7.939      -0.008    -203.333     -61.459       0.478
     20.000      -3.207       6.444      -0.042    -208.076    -102.760      49.907
     21.000      -3.145       6.871       0.158    -208.476     -94.738      -7.095
     22.000       3.442       7.774       0.427    -202.296      85.848     -17.171
     23.000      -0.063       8.799      -0.267    -205.877       5.849      -7.475
     24.000       2.575       8.408      -0.932    -195.886      69.443       8.233
     25.000       9.164       3.371       0.165     -76.213     198.656      -1.879
     26.000      -3.691       6.744       0.411    -194.312    -108.265       0.180
     27.000       6.028       6.661       0.140    -162.986     145.131     -10.734
     28.000      -0.476       8.215       0.044    -216.011     -13.722      28.985
     29.000       2.224       7.955       0.251    -217.084      53.163     -23.010
     30.000      -6.967       0.677       0.179     -28.542    -222.655       1.131
     31.000      -0.208       8.624      -0.107    -210.077       1.011       1.148
     32.000       6.039       6.893       0.627    -150.962     152.333       0.808
     33.000       3.181       8.021      -1.107    -195.580      79.362      -8.403
     34.000      -1.215       7.730       0.244    -221.816     -38.887      22.381
     35.000       4.806       7.350       0.034    -185.729     118.128       5.120
     36.000      -4.704       5.675       0.298    -177.245    -143.081     -10.504
     37.000       3.084       7.984       0.054    -206.978      78.048       2.029
     38.000      -3.946       6.618       0.070    -192.493    -114.962      -8.153
     39.000      -3.992       6.436      -0.022    -194.242    -118.799       5.305
     40.000      -3.542       6.900       0.475    -192.763    -104.375      16.485
     41.000       5.720       6.855       0.095    -169.369     138.174     -11.142
     42.000       7.043       5.949       0.593    -133.212     169.651       7.330
     43.000      -2.685       7.343      -0.399    -207.775     -78.323     -10.162
     44.000      -3.488       7.241      -0.354    -190.398     -96.235       3.637
     45.000      -5.820       4.396      -0.020    -139.696    -178.864      15.677
     46.000      -6.607       2.533      -0.188     -84.012    -208.764      25.474
     47.000      -6.980      -0.474       0.184      -7.835    -219.346      26.317
     48.000      -2.732       7.393       0.050    -208.394     -77.461      -3.902
     49.000       2.149       7.820       0.114    -223.329      49.525       4.898
     50.000       0.796       8.014       0.024    -224.132      16.697      24.636
     51.000      -3.821       7.011       0.326    -185.540    -106.664      -6.195
     52.000      -3.331       7.033       0.265    -199.177     -95.593      -5.726
     53.000       1.656       8.353       0.169    -211.289      44.014     -24.485
     54.000      -2.575       6.514       0.360    -227.790     -90.249      10.929
     55.000       2.216       7.637      -0.248    -225.651      48.043      23.726
     56.000       4.149       7.831      -0.800    -184.160     106.064       2.665
     57.000      -3.251       6.601       0.012    -212.133    -101.751      -2.388
     58.000      -2.377       7.277       0.359    -216.487     -72.626       7.288
     59.000       3.952       7.558      -0.059    -201.669      95.263      -7.576
     60.000       1.786       8.314       0.023    -212.696      46.353     -21.661
     61.000       4.455       7.525       0.359    -188.737     109.855     -14.468
     62.000      -5.898       4.211       0.060    -135.221    -182.296     -17.706
     63.000      -3.324       6.554       0.011    -211.115    -103.878      -1.749
     64.000       6.075       6.492       0.632    -165.087     133.478      42.944
     65.000       2.183       7.731       0.586    -220.810      50.044     -19.535
     66.000       1.131       7.930      -0.139    -227.173      23.213     -16.560
     67.000       3.237       7.688       0.288    -209.618      77.826     -19.518
     68.000      -4.629       6.245      -0.054    -172.178    -133.667      10.574
     69.000       1.091       7.750      -0.867    -225.637      21.460      17.909
     70.000      -6.002       3.673      -0.261    -132.593    -189.547      19.070
     71.000      -5.708       4.119      -0.022    -150.599    -181.050      -2.165
     72.000      -4.574       6.148      -0.568    -170.151    -135.996      -9.266
     73.000       1.436       7.859      -0.969    -220.095      32.299      12.036
     74.000       7.302       5.594       0.297    -138.002     166.128      -6.142
     75.000       2.388       8.311      -0.585    -202.329      64.612      18.637
     76.000       7.507       5.381       0.386    -121.751     179.902      -2.534
     77.000       3.285       8.284       0.094    -194.602      88.843      10.360
     78.000      -0.801       7.776      -0.184    -221.992     -26.848      35.994
     79.000       0.266       8.275      -0.425    -215.362       6.900      30.033
     80.000      -2.275       6.896       0.056    -228.128     -76.458      -3.719
     81.000      -4.937       5.804      -0.007    -166.877    -145.433      -0.574
     82.000       1.768       8.648      -0.150    -203.323      52.348     -14.174
     83.000      -5.543       4.362       0.129    -155.953    -175.141     -17.193
     84.000      -1.727       8.141      -0.083    -209.278     -43.249       3.362
     85.000      -3.202       7.048       0.332    -197.062     -95.230      32.049
     86.000      -4.902       5.589       0.611    -162.421    -150.600      16.304
     87.000      -1.631       7.934      -0.174    -214.566     -43.788       3.180
     88.000      -3.440       6.665       0.013    -206.241    -104.359      -2.588
     89.000      -3.240       6.835       0.269    -201.002     -99.329      36.195
     90.000      -3.949       5.795       0.328    -204.792    -128.852      -4.668
     91.000       5.141       7.189      -0.752    -177.193     123.659      -2.673
     92.000       2.155       8.319      -0.155    -206.669      58.277      22.929
     93.000       3.460       7.534      -0.635    -208.715      80.827      12.027
     94.000       2.246       8.169       0.564    -209.829      56.848     -19.471
     95.000      -3.789       6.246      -0.192    -202.636    -117.785       9.078
     96.000       5.945       6.695      -0.006    -166.564     142.369      -2.363
     97.000      -1.145       7.400       0.233    -232.966     -41.920       1.599
     98.000       0.628       7.907      -0.100    -230.946       9.852      -0.735
     99.000       3.878       7.425       1.069    -198.440      86.673      30.845
