# Time in Gyr = 0.500
#        num          x          y           z          vx           vy           vz
      0.000       0.055       8.002       0.000    -224.985       1.716       0.000
      1.000      -7.520       0.115       0.046      10.100    -218.580      -2.652
      2.000       2.794       7.611       0.515    -211.752      73.822       4.810
      3.000      -7.277       0.108       0.211      -2.704    -226.300       3.462
      4.000       5.189       6.433      -0.389    -176.304     140.550     -13.034
      5.000      -7.045       3.364       0.068     -90.131    -195.673      12.281
      6.000       0.098       8.022      -0.057    -225.280      -0.227       1.249
      7.000      -2.606       7.261       0.258    -212.983     -82.300       1.511
      8.000       0.230       7.997      -0.183    -225.738      -0.984      -5.172
      9.000      -7.481       1.229       0.601     -24.069    -213.045       6.899
     10.000      -6.878       1.901       0.416     -68.525    -221.457     -10.289
     11.000       8.223      -5.001       1.439     111.687     172.136     -12.426
     12.000      -1.969       7.587       0.244    -218.275     -59.254       3.351
     13.000      -4.703       5.862      -0.008    -177.508    -146.988      -7.731
     14.000       3.378       7.460      -0.349    -205.121      91.434       8.510
     15.000       3.540       7.385       0.023    -202.812     100.725     -12.144
     16.000      -3.522       6.794       0.536    -200.802    -101.065     -20.847
     17.000       1.558       7.948       0.093    -220.310      52.304       2.039
     18.000       4.762       6.434      -0.016    -182.130     147.600      -2.440
     19.000      -2.576       7.119      -0.004    -214.370     -91.183       0.666
     20.000      -5.429       5.748      -0.952    -158.689    -139.620       5.126
     21.000      -4.816       6.165       0.113    -176.237    -133.653      -9.546
     22.000       6.125       5.636       0.132    -153.939     163.358      26.483
     23.000       2.427       7.818      -0.006    -218.653      41.831     -15.512
     24.000       6.168       5.922       0.776    -158.758     143.532     -23.401
     25.000       7.201      -6.405      -0.101     137.082     166.585       6.008
     26.000      -5.389       5.293       0.394    -158.523    -161.629       5.397
     27.000       8.747       1.301       0.177     -37.509     218.519       9.381
     28.000       0.195       7.879      -0.558    -226.035      -0.152       6.089
     29.000       4.039       7.041       0.428    -195.534     115.940      14.857
     30.000      -4.360      -5.210      -0.078     180.424    -144.635     -10.716
     31.000       1.891       7.900      -0.104    -221.511      32.714      -0.770
     32.000       9.451       0.208      -0.631      -3.920     207.354       4.542
     33.000       6.307       5.490       1.100    -151.638     156.781      -1.426
     34.000      -1.560       7.733      -0.239    -219.939     -39.109      22.421
     35.000       7.871       3.567      -0.083     -95.394     202.420       3.461
     36.000      -6.788       3.388       0.258     -98.521    -198.157     -13.826
     37.000       5.714       6.216       0.014    -166.553     150.177       3.389
     38.000      -5.750       5.058      -0.028    -148.771    -169.581      -9.005
     39.000      -5.915       5.011       0.050    -144.166    -169.331       4.557
     40.000      -5.164       5.376       0.148    -164.202    -158.197      30.369
     41.000       8.580       1.827       0.208     -51.117     216.518       6.606
     42.000       9.208      -1.661      -0.612      37.234     209.160      -5.047
     43.000      -3.838       6.673      -0.221    -195.064    -113.220     -20.756
     44.000      -4.744       5.518      -0.333    -175.569    -157.215       2.155
     45.000      -7.372       0.669       0.186     -16.664    -222.970      10.555
     46.000      -6.536      -2.720       0.084      89.475    -206.400      27.753
     47.000      -3.614      -5.247       0.431     207.285    -121.708       3.153
     48.000      -3.746       6.761       0.014    -197.400    -111.594      -4.809
     49.000       3.363       7.336       0.061    -204.471     104.934       7.434
     50.000       1.642       7.861      -0.445    -219.417      51.634       7.460
     51.000      -5.292       4.952       0.296    -159.538    -173.621      -7.645
     52.000      -4.816       5.791       0.247    -174.582    -147.087      -7.471
     53.000       4.064       7.217       0.465    -197.723     101.128      12.096
     54.000      -5.048       6.609       0.310    -172.592    -114.039      16.434
     55.000       2.997       7.341      -0.474    -207.369     102.603     -10.649
     56.000       7.884       3.961       0.730    -102.933     187.027     -13.904
     57.000      -5.335       5.989      -0.020    -164.910    -139.304      -2.101
     58.000      -3.673       7.003       0.270    -197.872     -98.685      15.160
     59.000       6.435       5.227       0.092    -144.231     178.281      -6.708
     60.000       4.215       7.169       0.437    -194.919     107.723       0.738
     61.000       7.551       4.085       0.089    -109.854     193.418      22.227
     62.000      -7.359       0.292      -0.167      -4.815    -223.395     -14.572
     63.000      -5.389       5.930      -0.014    -163.173    -141.121      -1.625
     64.000       8.283       1.372      -0.245     -47.984     219.336     -52.626
     65.000       3.379       7.211       0.159    -202.209     106.053      34.758
     66.000       1.923       7.838       0.172    -217.517      64.218     -15.606
     67.000       5.228       6.225       0.348    -173.548     149.774      16.772
     68.000      -6.431       3.362       0.097    -109.239    -206.262       9.760
     69.000       1.414       7.798       0.121    -217.475      53.555     -45.934
     70.000      -7.475       0.269      -0.164       3.330    -217.476      22.692
     71.000      -7.586       1.445      -0.038     -28.546    -212.605       0.936
     72.000      -6.537       3.092      -0.442    -101.626    -207.104     -20.706
     73.000       2.427       7.536       0.468    -210.912      77.092     -41.447
     74.000       8.780      -1.190      -0.074      19.967     223.355      14.755
     75.000       5.436       6.462       0.066    -173.975     130.885     -33.540
     76.000       8.947      -2.647      -0.316      61.432     206.039      10.166
     77.000       7.320       5.161      -0.203    -129.808     168.599       5.535
     78.000      -0.966       7.756      -0.700    -222.461     -23.124      -8.948
     79.000       1.539       7.798      -0.450    -221.690      35.707     -29.183
     80.000      -4.421       6.916       0.013    -186.633    -103.221      -4.717
     81.000      -6.735       2.865      -0.011     -90.841    -211.783       0.344
     82.000       5.277       6.826       0.274    -180.073     117.717      -9.108
     83.000      -7.510       1.823      -0.016     -41.179    -209.832     -18.130
     84.000      -1.233       7.664      -0.076    -224.210     -49.188       3.853
     85.000      -4.844       5.693      -0.378    -174.193    -144.906      31.087
     86.000      -6.890       2.435       0.350     -77.551    -211.534      32.219
     87.000      -1.774       7.600      -0.173    -219.994     -57.320       2.958
     88.000      -5.297       5.868      -0.021    -164.950    -144.572      -2.304
     89.000      -4.883       5.909      -0.547    -173.964    -136.642      25.232
     90.000      -6.569       4.910       0.364    -126.363    -163.688      -4.968
     91.000       8.155       2.862       0.719     -78.353     206.669      -8.267
     92.000       5.002       6.750      -0.432    -182.780     122.204     -11.735
     93.000       5.318       6.008       0.132    -168.745     157.586     -32.893
     94.000       4.757       6.769       0.023    -184.835     124.170      33.871
     95.000      -5.945       5.285      -0.146    -145.463    -158.531      11.678
     96.000       8.619       1.559       0.044     -44.769     219.410      -0.839
     97.000      -2.337       7.765       0.242    -213.875     -47.772       3.201
     98.000       1.216       8.012      -0.097    -221.660      46.280      -1.890
     99.000       6.190       5.027      -1.071    -146.604     173.255     -30.340
