# Time in Gyr = 0.080
#        num          x          y           z          vx           vy           vz
      0.000      -5.124       6.216       0.000    -172.445    -142.025       0.000
      1.000      -5.467       4.633       0.016    -135.395    -185.645       3.750
      2.000      -5.062       6.534      -0.339    -176.217    -131.700      19.817
      3.000      -5.902       4.258       0.063    -132.540    -183.406      13.016
      4.000      -4.690       7.115       0.350    -181.916    -121.326     -15.663
      5.000      -5.356       5.159      -0.009    -147.057    -172.268      13.178
      6.000      -5.273       6.139      -0.005    -171.479    -143.039       3.405
      7.000      -5.634       5.532       0.033    -161.699    -153.746     -14.608
      8.000      -5.444       6.003      -0.034    -170.131    -143.886      11.227
      9.000      -5.433       4.779       0.222    -136.194    -179.056     -31.890
     10.000      -6.041       4.391       0.013    -139.034    -172.582     -26.807
     11.000      -3.973       8.384      -1.444    -198.963     -77.104       1.378
     12.000      -5.386       5.844       0.051    -166.464    -148.537     -13.795
     13.000      -5.794       5.117      -0.025    -154.461    -162.605      -7.422
     14.000      -4.937       6.723       0.226    -178.569    -129.241     -15.920
     15.000      -4.671       7.004      -0.116    -180.994    -125.630      10.268
     16.000      -5.499       5.561      -0.372    -158.604    -152.503      28.831
     17.000      -4.686       6.859       0.038    -177.232    -131.668      -5.133
     18.000      -4.096       7.642      -0.026    -183.334    -115.702       1.983
     19.000      -5.867       5.287       0.002    -161.492    -154.647       0.659
     20.000      -5.114       5.723       0.701    -153.791    -154.606     -31.143
     21.000      -5.348       5.556       0.022    -157.729    -159.680     -11.722
     22.000      -4.492       7.304      -0.461    -185.497    -114.348      15.174
     23.000      -5.895       5.727      -0.039    -171.319    -140.777      15.313
     24.000      -5.254       6.578       0.730    -182.284    -119.255     -23.276
     25.000      -2.979       9.305      -0.152    -201.766     -67.151       3.282
     26.000      -5.598       5.236       0.091    -154.612    -160.829     -22.307
     27.000      -4.075       8.016      -0.199    -194.560     -98.246       8.372
     28.000      -5.375       6.060       0.331    -169.888    -139.896     -23.393
     29.000      -4.592       7.126      -0.415    -180.126    -122.337      16.104
     30.000      -5.936       3.330       0.096    -107.931    -203.975       9.898
     31.000      -5.705       5.819       0.006    -172.483    -141.598       5.796
     32.000      -4.594       7.671      -0.516    -197.509     -97.031      13.531
     33.000      -4.930       6.872       0.984    -182.235    -115.383     -20.089
     34.000      -5.190       6.055       0.265    -165.972    -145.779     -21.607
     35.000      -4.309       7.688       0.059    -191.098    -107.578      -4.527
     36.000      -5.560       4.977       0.046    -146.704    -170.622     -20.523
     37.000      -4.703       7.173       0.023    -184.913    -120.595      -3.221
     38.000      -5.659       5.195      -0.015    -152.787    -164.982      -9.097
     39.000      -5.635       5.167       0.013    -149.676    -168.771       5.381
     40.000      -5.792       5.066       0.184    -150.591    -161.688     -28.828
     41.000      -4.134       7.937      -0.177    -193.455    -100.631       8.448
     42.000      -4.164       8.122      -0.551    -198.452     -90.088      10.520
     43.000      -5.600       5.444      -0.138    -156.903    -157.428      22.843
     44.000      -6.056       4.824       0.010    -149.872    -163.720      19.703
     45.000      -5.743       4.518       0.036    -136.934    -180.524      15.630
     46.000      -5.871       3.902       0.022    -122.708    -189.577      28.407
     47.000      -5.486       3.646       0.022    -108.422    -206.372      29.687
     48.000      -5.584       5.455      -0.006    -159.220    -158.242      -4.886
     49.000      -4.428       7.228       0.075    -180.334    -124.119      -6.886
     50.000      -4.797       6.703       0.319    -176.186    -131.139     -17.791
     51.000      -6.028       4.800      -0.014    -149.666    -164.200     -19.160
     52.000      -5.634       5.219       0.025    -155.963    -160.678     -16.213
     53.000      -5.058       6.658      -0.352    -180.142    -126.211      19.057
     54.000      -4.669       6.308       0.265    -160.004    -151.455     -19.006
     55.000      -4.257       7.395       0.448    -177.273    -121.881     -14.384
     56.000      -4.838       7.167       0.662    -188.261    -110.198     -17.625
     57.000      -5.131       5.757      -0.001    -158.414    -159.701      -2.403
     58.000      -5.307       5.801       0.144    -160.309    -154.176     -19.779
     59.000      -4.340       7.561      -0.094    -185.883    -114.214       6.671
     60.000      -5.039       6.728      -0.265    -179.739    -127.336      16.964
     61.000      -4.396       7.577      -0.383    -189.316    -108.088      13.128
     62.000      -5.747       4.438      -0.030    -135.024    -181.856     -17.950
     63.000      -5.122       5.741       0.002    -158.442    -159.927      -1.859
     64.000      -3.916       8.124      -1.282    -185.472     -95.864       5.632
     65.000      -4.392       7.220      -0.642    -178.065    -120.928      16.359
     66.000      -4.680       6.909      -0.212    -175.960    -130.811      14.173
     67.000      -4.301       7.441      -0.407    -183.987    -114.892      13.704
     68.000      -6.053       4.560       0.054    -143.071    -172.034      10.753
     69.000      -4.584       6.895       0.878    -172.941    -126.466     -19.535
     70.000      -5.466       4.644      -0.066    -135.111    -182.465      25.182
     71.000      -5.282       4.963      -0.006    -141.718    -179.889      -2.552
     72.000      -5.975       4.657      -0.135    -143.714    -167.217      31.338
     73.000      -4.698       6.804       0.916    -174.445    -125.367     -20.342
     74.000      -3.478       8.610      -0.290    -196.192     -85.071       6.805
     75.000      -5.172       6.620       0.523    -180.717    -123.648     -21.514
     76.000      -3.825       8.355      -0.334    -201.469     -84.397       8.499
     77.000      -5.104       6.904       0.089    -187.890    -118.890     -10.459
     78.000      -5.090       6.163       0.523    -167.213    -140.813     -24.987
     79.000      -5.269       6.250       0.545    -172.061    -134.414     -24.936
     80.000      -4.804       6.239       0.018    -163.133    -151.734      -4.826
     81.000      -5.902       4.598      -0.006    -143.631    -173.861      -0.620
     82.000      -5.467       6.334      -0.108    -181.075    -128.802      15.341
     83.000      -5.331       4.969       0.033    -141.240    -178.116     -18.809
     84.000      -5.759       5.514       0.015    -164.586    -151.168       5.750
     85.000      -5.721       5.163       0.325    -151.969    -158.934     -32.190
     86.000      -5.922       4.558       0.215    -138.559    -171.268     -35.399
     87.000      -5.566       5.658      -0.005    -164.249    -151.674      10.087
     88.000      -5.352       5.538      -0.004    -156.089    -162.482      -2.587
     89.000      -5.463       5.447       0.430    -154.508    -156.356     -31.039
     90.000      -5.014       5.733       0.146    -151.790    -164.676     -18.868
     91.000      -4.322       7.721       0.684    -189.578    -103.122     -13.058
     92.000      -5.067       6.671       0.313    -182.034    -124.452     -18.608
     93.000      -4.298       7.508       0.628    -180.614    -115.456     -14.237
     94.000      -4.891       6.903      -0.560    -180.088    -122.446      19.403
     95.000      -5.268       5.505      -0.041    -153.089    -164.974      14.531
     96.000      -4.021       8.055      -0.029    -194.216     -98.892       1.958
     97.000      -4.769       6.470       0.102    -167.493    -144.353     -12.420
     98.000      -4.695       6.868      -0.038    -174.976    -134.204       5.216
     99.000      -4.334       7.424      -1.317    -179.754    -109.636      12.633
