# Time in Gyr = 0.640
#        num          x          y           z          vx           vy           vz
      0.000       5.631      -5.700       0.000     159.254     158.531       0.000
      1.000       2.205       7.279      -0.059    -209.580      53.076       1.475
      2.000       2.952      -7.680       0.470     205.175      82.024     -11.958
      3.000       2.395       6.882      -0.125    -213.837      73.406     -11.147
      4.000      -0.540      -8.348      -0.478     222.618      -9.711      -0.733
      5.000       5.875       5.136       0.133    -139.085     164.701     -10.230
      6.000       5.846      -5.616       0.029     152.232     162.857       2.990
      7.000       7.468      -2.484       0.026      63.363     214.733     -14.739
      8.000       5.859      -5.727      -0.111     149.690     161.809       9.641
      9.000       3.565       6.792       0.119    -189.738      93.915     -32.479
     10.000       4.458       5.529      -0.249    -180.721     146.698     -22.724
     11.000      -8.577       2.533       1.150     -73.595    -208.470      32.278
     12.000       7.200      -3.287       0.067      89.776     205.219     -13.632
     13.000       7.565       0.851      -0.108     -32.796     225.238       4.217
     14.000       2.115      -8.009      -0.102     213.976      59.356      19.319
     15.000       1.723      -8.000      -0.195     220.766      50.925      -6.047
     16.000       7.577      -1.191      -0.013      33.474     221.703     -36.043
     17.000       3.907      -6.909       0.044     201.333     112.901      -5.035
     18.000      -1.068      -7.986      -0.047     232.347     -18.372      -0.202
     19.000       7.542      -2.309       0.012      49.610     218.289      -0.089
     20.000       7.536       1.924      -0.528     -37.664     211.977      36.985
     21.000       7.696       0.853      -0.198     -19.358     222.627      -2.404
     22.000      -2.131      -8.196       0.322     214.984     -49.978      21.586
     23.000       4.417      -7.537      -0.299     172.629     115.362      -2.963
     24.000      -0.838      -8.831       0.684     204.685     -21.428     -27.354
     25.000      -8.689       4.252      -0.058    -101.198    -189.612       6.959
     26.000       7.318       1.958       0.107     -59.584     217.722     -22.265
     27.000      -7.419      -5.077       0.259     123.727    -179.535       3.231
     28.000       5.722      -5.707      -0.311     151.200     160.458      24.497
     29.000       0.876      -8.085       0.519     224.969      29.846       1.805
     30.000      -4.944       4.653       0.071    -155.304    -171.578      10.930
     31.000       4.759      -7.128      -0.007     170.120     125.842       5.574
     32.000      -7.900      -4.192      -0.602      87.116    -201.956       4.422
     33.000      -1.798      -8.440       1.126     206.931     -41.567       1.519
     34.000       6.814      -3.808       0.261     111.433     196.310      21.875
     35.000      -5.292      -7.015       0.005     177.136    -130.466       5.355
     36.000       5.918       4.736      -0.315    -137.622     173.546      -9.221
     37.000      -1.243      -8.449       0.065     219.697     -29.868       0.460
     38.000       7.243       2.503      -0.114     -74.225     212.840       6.142
     39.000       7.232       2.712       0.030     -75.898     209.854      -5.131
     40.000       7.306       1.518       0.560     -50.351     222.127       2.214
     41.000      -7.002      -5.557       0.253     136.813    -170.104      -0.412
     42.000      -8.850      -1.841      -0.578      35.360    -217.249      -8.502
     43.000       7.665      -0.862      -0.428      23.399     223.916       5.392
     44.000       7.390       0.910       0.045     -41.682     226.886      19.902
     45.000       3.028       6.783       0.006    -204.310      88.850     -15.527
     46.000      -1.446       6.929       0.340    -219.792     -47.861     -18.623
     47.000      -5.197       3.613      -0.326    -125.464    -206.724     -18.974
     48.000       7.736      -0.858      -0.079      21.591     224.177       1.375
     49.000       1.437      -7.837       0.145     227.919      46.619      -0.655
     50.000       3.904      -6.947      -0.200     197.948     111.325      22.131
     51.000       7.116       1.901      -0.167     -71.231     221.160     -16.496
     52.000       7.532       0.948      -0.178     -33.047     224.167     -12.410
     53.000       1.660      -8.319       0.540     211.843      45.547      -3.212
     54.000       7.871       0.867       0.354       3.042     218.352     -12.322
     55.000       1.438      -7.578      -0.501     231.988      49.748       2.324
     56.000      -4.214      -7.829       0.688     182.919    -106.832     -16.538
     57.000       7.714       1.466      -0.018     -29.094     218.811       2.213
     58.000       7.723      -1.018       0.325      36.027     221.648     -11.326
     59.000      -3.019      -7.927      -0.053     212.604     -71.554      -7.771
     60.000       1.350      -8.370       0.338     215.236      36.870     -13.863
     61.000      -4.472      -7.511       0.270     189.280    -109.032      17.987
     62.000       2.545       6.939      -0.087    -209.829      74.418      17.114
     63.000       7.674       1.698      -0.013     -35.888     217.260       1.608
     64.000      -7.417      -5.019       0.389     125.926    -168.619     -48.884
     65.000       1.100      -7.790       0.311     227.578      39.575      31.452
     66.000       3.460      -7.109      -0.156     207.721     101.632     -16.465
     67.000      -1.187      -8.134       0.462     225.585     -23.762       6.884
     68.000       6.022       4.093       0.079    -134.643     189.752     -10.377
     69.000       3.700      -6.760      -0.054     201.965     109.838     -47.475
     70.000       2.345       7.164       0.430    -207.499      59.073      -2.655
     71.000       3.755       6.839       0.041    -188.630      97.007       0.099
     72.000       5.720       4.383      -0.456    -140.478     183.948      19.598
     73.000       2.868      -7.334       0.342     209.626      83.418     -45.161
     74.000      -8.998      -2.387       0.037      58.776    -204.965      14.546
     75.000       0.011      -8.690      -0.224     211.237       2.520     -30.966
     76.000      -9.070      -0.349      -0.288       0.742    -221.164      11.417
     77.000      -2.839      -8.484      -0.014     198.763     -76.640      11.136
     78.000       6.337      -4.431      -0.657     131.970     183.571      13.961
     79.000       4.358      -6.863      -0.689     180.677     124.660     -15.123
     80.000       7.866       0.052      -0.079      19.385     222.232       1.682
     81.000       5.518       4.825       0.013    -153.421     171.475       0.157
     82.000       0.799      -8.883      -0.028     206.762      16.972     -15.741
     83.000       4.285       6.500      -0.267    -178.553     114.425      10.272
     84.000       6.947      -4.141       0.083     101.221     195.697       3.213
     85.000       7.440       0.916       0.302     -31.954     223.696      33.536
     86.000       5.026       5.225       0.657    -161.506     159.585      -9.125
     87.000       7.166      -3.461       0.077      90.652     203.685       9.206
     88.000       7.654       1.551      -0.019     -36.935     219.012       2.373
     89.000       7.563       0.950       0.120     -24.541     221.133      38.758
