# Time in Gyr = 0.590
#        num          x          y           z          vx           vy           vz
      0.000      -4.681      -6.560       0.000     182.098    -129.416       0.000
      1.000       7.238      -1.259       0.055      54.863     217.397      -1.699
      2.000      -6.837      -4.664      -0.197     121.057    -183.291      24.303
      3.000       6.947      -2.303       0.134      70.528     213.721      10.677
      4.000      -8.405      -1.468       0.387      36.828    -215.285     -13.554
      5.000       5.192      -5.065      -0.095     169.505     158.571      11.983
      6.000      -4.472      -6.791      -0.045     184.325    -124.169      -2.310
      7.000      -1.159      -7.968       0.082     216.076     -34.025      13.804
      8.000      -4.384      -6.931       0.025     182.801    -122.803     -11.253
      9.000       6.738      -2.612       0.167      96.336     203.600      33.267
     10.000       5.701      -4.860       0.332     134.529     175.313      17.931
     11.000       0.279       8.720      -1.243    -226.367       0.876      24.613
     12.000      -2.169      -7.710       0.028     212.764     -61.051      13.994
     13.000       1.801      -7.706       0.095     213.068      50.020      -5.180
     14.000      -7.355      -3.943      -0.149     103.383    -194.606     -18.341
     15.000      -7.719      -3.387       0.231      91.765    -199.920       0.683
     16.000      -0.439      -7.792       0.376     220.239      -8.647      28.769
     17.000      -6.612      -4.959      -0.018     140.419    -171.819       5.383
     18.000      -8.800      -0.920       0.047      31.781    -209.766      -0.935
     19.000      -0.618      -8.232      -0.011     212.262     -22.088       0.264
     20.000       1.863      -6.950       0.053     224.320      59.451     -49.836
     21.000       1.277      -7.445       0.198     225.592      39.421       0.433
     22.000      -8.560      -0.158      -0.561       2.585    -218.216      -4.238
     23.000      -5.365      -6.435       0.267     151.116    -156.280      -6.046
     24.000      -8.050      -1.812       0.205      31.013    -219.807      41.887
     25.000       0.684       9.174      -0.077    -224.709      23.738      -6.826
     26.000       2.556      -7.266       0.033     208.881      75.195      22.865
     27.000      -7.125       5.258      -0.234    -135.388    -175.202       5.831
     28.000      -4.489      -6.855      -0.069     179.610    -122.502     -28.952
     29.000      -8.082      -2.654      -0.449      71.514    -204.814      13.930
     30.000       5.318       4.699      -0.036    -148.140     164.451     -11.443
     31.000      -5.128      -6.534      -0.048     160.371    -148.887      -5.172
     32.000      -5.506       6.366       0.309    -175.312    -153.361     -23.894
     33.000      -8.308      -0.786      -0.626       6.152    -218.646      38.416
     34.000      -3.041      -7.266      -0.427     208.308     -81.644     -12.236
     35.000      -8.191       3.100      -0.062     -81.235    -205.271      -4.409
     36.000       4.899      -5.525       0.339     172.119     148.561       5.072
     37.000      -8.491      -1.064      -0.061      25.591    -219.790       1.244
     38.000       3.041      -7.078       0.099     205.972      88.627      -6.938
     39.000       3.136      -6.889      -0.021     207.799      93.183       5.354
     40.000       2.202      -7.438      -0.541     209.334      64.715      10.378
     41.000      -7.420       4.792      -0.181    -123.970    -182.917       8.228
     42.000      -4.017       7.759       0.507    -201.693    -105.155     -13.693
     43.000       0.064      -7.832       0.348     221.663       1.995     -14.492
     44.000       2.084      -7.781      -0.181     204.767      58.164     -16.220
     45.000       6.817      -2.736       0.024      87.711     207.554      15.610
     46.000       6.997       1.391      -0.279     -40.913     219.430      21.904
     47.000       4.620       5.701       0.374    -167.143     124.422      16.370
     48.000       0.153      -7.881       0.073     222.322       3.627      -2.281
     49.000      -8.015      -2.929      -0.138      84.254    -200.403       3.418
     50.000      -6.453      -5.081      -0.063     140.978    -169.435     -23.996
     51.000       2.822      -7.480       0.260     198.182      80.383      11.791
     52.000       1.758      -7.588       0.235     214.878      50.777       8.881
     53.000      -7.502      -3.632      -0.352      88.157    -202.315      19.094
     54.000       0.255      -7.026      -0.285     243.695      15.522      17.630
     55.000      -8.084      -2.871       0.426      86.609    -195.579     -16.045
     56.000      -8.156       1.765      -0.076     -58.298    -218.170      36.136
     57.000       1.544      -7.188       0.016     230.074      49.789      -2.331
     58.000      -0.510      -7.669      -0.234     227.190     -12.141      16.995
     59.000      -8.775       0.741       0.129     -17.377    -215.213       4.862
     60.000      -7.706      -3.298      -0.076      81.479    -205.387      21.629
     61.000      -8.415       2.111      -0.466     -57.397    -212.505      -3.945
     62.000       6.965      -2.237       0.042      73.148     212.726     -17.861
     63.000       1.775      -7.121       0.012     228.603      56.454      -1.739
     64.000      -7.457       5.025       1.006    -122.373    -169.995      31.108
     65.000      -8.047      -2.676      -0.684      78.952    -199.496     -11.190
     66.000      -6.933      -4.584       0.281     130.454    -177.455      10.229
     67.000      -8.622      -0.968      -0.462      27.848    -212.983       9.401
     68.000       4.601      -6.233      -0.066     172.132     134.906      10.368
     69.000      -6.673      -4.717       0.689     138.139    -167.857      29.529
     70.000       7.127      -1.470      -0.383      60.765     215.495       9.401
     71.000       6.800      -2.578      -0.039      99.264     205.625       0.123
     72.000       4.728      -5.984       0.320     166.914     141.525     -26.858
     73.000      -7.136      -4.174       0.457     116.612    -180.774      40.782
     74.000      -5.552       7.217      -0.275    -178.921    -124.890      -7.796
     75.000      -7.923      -2.403       0.658      52.990    -215.646      12.542
     76.000      -2.982       8.372       0.000    -212.131     -77.207     -18.063
     77.000      -8.225       0.468      -0.116     -23.859    -230.130     -10.087
     78.000      -3.737      -6.958       0.379     196.913    -101.059     -30.914
     79.000      -5.684      -5.938       0.731     152.947    -153.973     -11.172
     80.000      -0.253      -7.294       0.076     239.518      -0.014      -1.807
     81.000       5.215      -5.528      -0.013     158.724     155.138      -0.161
     82.000      -7.549      -3.158       0.224      69.053    -216.204      12.088
     83.000       6.479      -3.206       0.192     117.669     196.564     -14.418
     84.000      -2.403      -7.880      -0.101     203.919     -71.451      -1.377
     85.000       1.582      -7.570      -0.591     213.385      49.523     -19.613
     86.000       5.328      -5.128      -0.558     151.645     163.007      21.522
     87.000      -2.106      -7.790      -0.132     211.222     -60.880      -7.053
     88.000       1.899      -7.251       0.015     223.883      58.155      -2.504
     89.000       1.465      -7.418      -0.479     219.128      47.860     -28.805
     90.000       3.422      -6.138       0.229     215.226     109.420      15.887
     91.000      -7.990       3.507      -0.273     -94.466    -197.526      30.607
     92.000      -7.826      -2.739       0.319      62.836    -213.733     -18.316
     93.000      -8.762      -0.511       0.518      19.530    -210.208      20.379
     94.000      -8.060      -2.463      -0.663      60.899    -209.894     -11.477
     95.000       2.890      -6.698      -0.244     216.797      89.578      -0.193
     96.000      -7.302       5.108       0.015    -130.246    -177.399       2.225
     97.000      -3.076      -7.013      -0.024     217.786     -79.593      13.956
     98.000      -6.522      -5.064       0.017     146.110    -167.436      -5.557
     99.000      -8.616       0.495       1.342     -12.818    -209.214      -7.621
