# Time in Gyr = 0.520
#        num          x          y           z          vx           vy           vz
      0.000      -4.288       6.769       0.000    -190.268    -119.495       0.000
      1.000      -5.905      -4.102      -0.027     144.224    -177.974      -3.488
      2.000      -1.701       7.891       0.364    -220.169     -47.275     -18.749
      3.000      -5.897      -4.264       0.118     132.264    -183.680     -11.357
      4.000       1.095       8.212      -0.442    -222.559      32.877       8.062
      5.000      -7.592      -0.949       0.223      38.635    -216.675       1.282
      6.000      -4.254       6.752      -0.003    -191.073    -121.562       3.460
      7.000      -6.260       4.418       0.128    -132.941    -187.487     -12.983
      8.000      -4.185       6.682      -0.163    -192.302    -124.262       7.014
      9.000      -6.642      -3.038       0.410     106.593    -195.654     -24.879
     10.000      -6.829      -2.707      -0.019      72.279    -213.474     -27.072
     11.000       9.612      -1.101       0.861      21.376     202.928     -42.328
     12.000      -5.818       5.224       0.161    -151.893    -168.341     -10.812
     13.000      -7.258       1.932      -0.123     -62.391    -222.016      -1.926
     14.000      -1.124       8.107      -0.027    -222.656     -30.293      20.161
     15.000      -0.969       8.222      -0.192    -223.039     -20.980      -6.560
     16.000      -6.791       3.668      -0.104    -108.221    -194.848     -35.392
     17.000      -2.968       7.743       0.073    -209.561     -70.718      -3.678
     18.000       0.509       8.289      -0.047    -224.250      31.423      -0.242
     19.000      -6.226       4.048       0.009    -128.985    -198.985       0.436
     20.000      -7.666       2.175      -0.472     -54.837    -202.290      39.367
     21.000      -7.398       2.601      -0.108     -71.862    -208.599      -9.739
     22.000       2.310       7.970       0.518    -216.057      63.338       9.313
     23.000      -2.124       7.408      -0.253    -220.379     -83.951      -6.312
     24.000       2.242       7.892       0.057    -219.068      43.084     -43.137
     25.000       9.119      -2.443       0.044      46.898     215.262       7.257
     26.000      -7.472       1.309       0.264     -41.782    -221.557     -17.158
     27.000       6.860       5.436       0.260    -141.743     173.421      -1.904
     28.000      -4.175       6.614      -0.182    -192.312    -121.906      28.328
     29.000      -0.381       8.235       0.489    -223.960      -1.803      -9.104
     30.000      -0.018      -6.763      -0.169     232.238      -2.815       3.051
     31.000      -2.628       7.296      -0.056    -214.759     -93.172       5.090
     32.000       8.324       4.298      -0.347    -103.956     181.851      21.913
     33.000       2.462       7.786       0.679    -214.891      60.169     -38.105
     34.000      -5.567       5.708       0.267    -160.101    -152.301      21.537
     35.000       4.998       6.990       0.015    -183.786     129.821       5.457
     36.000      -7.477      -0.959      -0.120      32.600    -220.337     -19.196
     37.000       1.667       8.250       0.063    -220.583      44.200       0.916
     38.000      -7.603       0.919      -0.152     -27.503    -223.888      -1.688
     39.000      -7.687       0.844       0.090     -22.100    -221.841      -1.154
     40.000      -7.377       1.332       0.554     -45.111    -222.258       5.784
     41.000       6.456       5.817       0.228    -152.384     164.919      -4.804
     42.000       8.917       2.630      -0.512     -65.515     203.583      14.503
     43.000      -6.951       3.326      -0.439     -99.011    -202.408       1.253
     44.000      -7.189       1.410      -0.078     -53.697    -227.957      19.745
     45.000      -6.329      -3.680       0.231     116.952    -193.447      -6.571
     46.000      -3.470      -6.096       0.455     198.276    -110.632       4.352
     47.000       1.161      -6.174       0.127     240.559      36.354     -29.095
     48.000      -6.915       3.420      -0.071    -101.243    -203.391      -2.427
     49.000      -1.131       8.244       0.149    -222.380     -17.131       0.373
     50.000      -2.828       7.661      -0.101    -210.175     -70.586      23.699
     51.000      -7.312       0.639      -0.026     -30.294    -231.076     -19.674
     52.000      -7.271       2.009      -0.024     -62.939    -219.080     -16.408
     53.000      -0.411       8.118       0.467    -225.558     -16.736     -12.052
     54.000      -7.685       3.460       0.455     -80.517    -187.095      -2.948
     55.000      -1.473       8.205      -0.439    -219.804     -17.904      13.433
     56.000       4.853       7.117       0.212    -187.407     113.013     -34.144
     57.000      -7.664       2.417      -0.042     -60.808    -206.653       0.141
     58.000      -6.925       3.946       0.382    -109.852    -189.837      -5.016
     59.000       2.756       7.894      -0.067    -212.622      80.833      -7.540
     60.000      -0.173       8.216       0.251    -225.167      -8.242     -17.942
     61.000       4.390       7.283       0.428    -193.681     113.580       8.703
     62.000      -6.095      -3.971      -0.288     127.024    -187.202       3.870
     63.000      -7.672       2.338      -0.032     -58.392    -207.466       0.027
     64.000       6.207       5.402      -1.063    -152.397     170.648     -24.067
     65.000      -1.026       8.147       0.670    -221.203     -13.976      12.703
     66.000      -2.598       7.878      -0.183    -212.579     -59.165     -15.382
     67.000       1.050       8.202       0.473    -222.259      38.510      -5.270
     68.000      -7.271      -1.209       0.179      28.466    -228.201      -2.619
     69.000      -3.043       7.597      -0.721    -205.079     -70.182     -29.738
     70.000      -5.999      -3.944       0.300     137.956    -180.147      16.633
     71.000      -6.788      -2.900       0.002     106.266    -198.271       2.476
     72.000      -7.244      -1.453      -0.531      33.327    -223.565      12.333
     73.000      -2.024       7.831      -0.467    -214.469     -48.016     -41.705
     74.000       8.020       3.348       0.214     -93.109     208.631      10.847
     75.000       1.257       8.072      -0.537    -224.084      21.472     -20.497
     76.000       9.141       1.673      -0.017     -43.030     211.589      17.443
     77.000       3.874       7.793      -0.017    -202.713      83.736      11.347
     78.000      -5.119       6.071      -0.541    -172.588    -136.750      23.360
     79.000      -3.003       7.248      -0.746    -209.638     -87.959       2.204
     80.000      -7.390       3.886      -0.072     -97.138    -185.351      -2.765
     81.000      -7.192      -1.667       0.002      46.471    -223.741       0.782
     82.000       1.037       8.165      -0.013    -225.612       8.029     -16.690
     83.000      -7.003      -2.487      -0.293      91.391    -203.286      -6.103
     84.000      -5.323       5.393       0.034    -164.199    -167.851       5.564
     85.000      -7.295       1.905       0.349     -60.068    -216.466      32.210
     86.000      -7.103      -2.029       0.687      55.965    -215.793      -1.209
     87.000      -5.699       5.222      -0.020    -154.135    -169.972      10.413
     88.000      -7.619       2.114      -0.045     -55.685    -212.104       0.245
     89.000      -7.410       2.239       0.173     -63.991    -209.448      37.635
     90.000      -8.035       0.987       0.098     -12.192    -209.542     -18.959
     91.000       5.592       6.478       0.309    -170.902     143.493     -30.462
     92.000       0.721       8.158      -0.446    -225.199      10.845      10.610
     93.000       1.252       8.118      -0.486    -220.969      46.373     -22.679
     94.000       0.415       8.175       0.591    -224.831       8.776      16.924
     95.000      -7.801       1.343       0.132     -29.803    -214.219      12.175
     96.000       6.611       5.629       0.008    -148.048     170.555      -2.364
     97.000      -6.116       5.692       0.172    -149.898    -150.257      -9.409
     98.000      -3.230       7.709      -0.074    -206.633     -74.071       3.823
     99.000       2.479       7.630      -1.220    -211.562      78.685      16.154
