# Time in Gyr = 0.090
#        num          x          y           z          vx           vy           vz
      0.000      -6.637       4.563       0.000    -126.334    -184.284       0.000
      1.000      -6.523       2.573       0.048     -73.434    -222.777       2.310
      2.000      -6.623       4.996      -0.106    -133.638    -173.707      25.870
      3.000      -6.945       2.185       0.175     -68.279    -215.648       8.038
      4.000      -6.377       5.622       0.151    -142.806    -166.305     -22.132
      5.000      -6.566       3.200       0.117     -89.918    -212.251      10.950
      6.000      -6.783       4.469       0.028    -124.564    -184.334       3.022
      7.000      -7.032       3.747      -0.114    -109.424    -192.082     -13.229
      8.000      -6.941       4.323       0.080    -122.177    -183.905      10.499
      9.000      -6.514       2.759      -0.122     -75.189    -217.423     -33.897
     10.000      -7.166       2.426      -0.249     -77.350    -204.495     -22.377
     11.000      -5.899       7.366      -1.334    -172.746    -118.980      19.615
     12.000      -6.850       4.092      -0.092    -116.156    -189.406     -13.103
     13.000      -7.077       3.297      -0.091    -100.118    -198.171      -5.365
     14.000      -6.539       5.191       0.042    -136.963    -172.427     -19.741
     15.000      -6.319       5.490      -0.000    -141.320    -170.705      11.977
     16.000      -6.853       3.809      -0.040    -107.165    -191.503      35.312
     17.000      -6.314       5.248      -0.018    -135.241    -177.828      -5.443
     18.000      -5.778       6.239      -0.004    -149.816    -162.727       2.393
     19.000      -7.263       3.492       0.008    -107.657    -190.727       0.485
     20.000      -6.434       3.926       0.305    -103.285    -196.650     -45.400
     21.000      -6.701       3.698      -0.095    -104.362    -200.636     -10.354
     22.000      -6.182       5.927      -0.264    -149.645    -158.761      23.474
     23.000      -7.385       4.116       0.114    -123.115    -176.612      14.232
     24.000      -6.934       5.121       0.420    -140.065    -159.831     -35.527
     25.000      -4.946       8.380      -0.105    -181.186    -113.057       5.805
     26.000      -6.906       3.381      -0.140     -99.252    -198.998     -21.418
     27.000      -5.903       6.780      -0.094    -163.739    -143.940      11.856
     28.000      -6.874       4.419       0.058    -122.653    -180.318     -29.092
     29.000      -6.251       5.633      -0.207    -141.575    -167.643      23.893
     30.000      -6.671       1.111       0.167     -35.593    -229.434       3.489
     31.000      -7.239       4.148       0.062    -123.117    -179.705       4.728
     32.000      -6.450       6.452      -0.332    -163.985    -139.964      21.906
     33.000      -6.575       5.505       0.702    -144.478    -156.011     -35.590
     34.000      -6.659       4.324       0.013    -117.319    -188.359     -26.099
     35.000      -6.114       6.332       0.007    -156.756    -153.769      -5.405
     36.000      -6.770       3.025      -0.159     -88.270    -208.524     -18.274
     37.000      -6.376       5.737      -0.011    -147.318    -164.404      -3.390
     38.000      -6.948       3.298      -0.100     -97.022    -202.558      -6.953
     39.000      -6.881       3.248       0.062     -93.800    -206.318       3.952
     40.000      -7.061       3.199      -0.128     -94.105    -198.037     -29.846
     41.000      -5.938       6.686      -0.074    -162.151    -146.068      11.491
     42.000      -6.081       6.943      -0.393    -167.937    -134.992      19.398
     43.000      -6.928       3.650       0.103    -104.381    -195.563      23.458
     44.000      -7.292       2.994       0.196     -93.971    -196.543      16.211
     45.000      -6.840       2.459       0.179     -74.032    -215.388      11.129
     46.000      -6.789       1.786       0.287     -55.069    -219.977      21.705
     47.000      -6.224       1.351       0.294     -33.701    -238.108      21.280
     48.000      -6.935       3.652      -0.051    -106.716    -196.454      -3.866
     49.000      -6.083       5.719      -0.002    -142.438    -170.723      -7.955
     50.000      -6.403       5.111       0.100    -133.436    -176.185     -23.827
     51.000      -7.255       2.975      -0.193     -93.729    -197.022     -15.620
     52.000      -6.960       3.360      -0.136    -100.429    -198.542     -14.176
     53.000      -6.686       5.149      -0.122    -138.055    -168.541      25.329
     54.000      -6.085       4.497       0.037    -112.579    -198.891     -24.233
     55.000      -5.899       5.899       0.254    -141.149    -169.033     -22.966
     56.000      -6.583       5.814       0.422    -150.991    -152.591     -28.588
     57.000      -6.492       3.900      -0.024    -106.577    -202.681      -1.927
     58.000      -6.684       4.023      -0.069    -110.080    -195.286     -21.070
     59.000      -6.061       6.161      -0.017    -151.042    -160.139       8.174
     60.000      -6.670       5.200      -0.064    -137.825    -170.046      21.510
     61.000      -6.172       6.226      -0.210    -154.571    -153.454      20.002
     62.000      -6.815       2.383      -0.195     -71.799    -216.171     -13.218
     63.000      -6.480       3.886      -0.016    -106.567    -202.886      -1.587
