# Time in Gyr = 0.860
#        num          x          y           z          vx           vy           vz
      0.000       5.290      -6.029       0.000     169.373     147.334       0.000
      1.000      -3.113       6.229       0.036    -215.984     -95.396       3.334
      2.000       1.433      -7.951       0.261     221.265      41.237      22.885
      3.000      -2.189       6.976      -0.218    -215.343     -66.670       2.333
      4.000      -3.213      -7.631       0.102     206.680     -89.065     -23.383
      5.000       3.234       6.444      -0.009    -212.247      97.148     -13.635
      6.000       5.542      -5.729       0.031     163.003     157.434       2.857
      7.000       7.619      -1.217       0.048      41.352     224.468     -14.820
      8.000       5.407      -5.716      -0.157     166.242     158.167       7.389
      9.000      -1.141       6.801       0.156    -233.194     -32.681     -34.175
     10.000       1.249       7.559      -0.288    -212.956      35.040     -20.358
     11.000      -2.562       9.058       0.169    -206.126     -41.954     -53.999
     12.000       7.370      -2.679       0.114      79.765     211.565     -12.587
     13.000       6.950       3.262      -0.038     -88.393     207.693       7.185
     14.000       0.354      -8.166      -0.386     224.856       9.333       1.128
     15.000      -0.002      -8.269      -0.059     224.282      -5.292     -11.729
     16.000       7.764       0.206       0.625      -1.793     221.451     -13.319
     17.000       3.203      -7.677       0.063     206.621      76.942      -4.146
     18.000      -2.793      -7.660      -0.041     210.719     -93.293      -1.354
     19.000       7.546      -0.238       0.010      19.380     232.747      -0.537
     20.000       7.069       2.763      -0.773     -96.935     198.343     -23.791
     21.000       7.459       2.105      -0.204     -65.644     213.379       0.462
     22.000      -5.072      -6.564      -0.552     178.584    -137.359       2.596
     23.000       2.804      -7.073      -0.148     215.282     102.677     -13.437
     24.000      -4.569      -6.960      -0.345     192.960    -105.492      39.351
     25.000      -0.436       9.769      -0.057    -212.340      -7.944      -7.003
     26.000       6.492       4.079       0.196    -115.843     190.594     -19.837
     27.000      -8.843       0.884      -0.150     -17.657    -219.867      10.548
     28.000       5.398      -5.640      -0.535     165.630     156.836      -9.346
     29.000      -0.961      -8.175      -0.096     221.693     -34.022      25.886
     30.000      -6.803      -2.044       0.090      63.018    -211.980     -10.029
     31.000       3.447      -6.859      -0.023     205.779     116.158       5.927
     32.000      -8.923       2.963       0.586     -73.204    -195.383      -9.873
     33.000      -5.077      -6.462      -1.070     180.750    -128.632       9.170
     34.000       7.054      -3.806      -0.238     106.513     192.283      22.315
     35.000      -8.097      -3.025      -0.096      81.489    -208.258       2.221
     36.000       3.484       6.504      -0.335    -202.122     104.578      -5.466
     37.000      -4.169      -7.320       0.044     195.983    -109.970       2.549
     38.000       6.126       4.638      -0.026    -134.909     179.814       8.980
     39.000       6.035       4.680      -0.044    -141.278     176.164      -4.878
     40.000       6.607       3.932       0.438    -108.818     192.382      19.517
     41.000      -8.815      -0.025      -0.044       5.331    -221.399      12.042
     42.000      -7.311       5.746       0.606    -136.248    -164.762       6.160
     43.000       7.741       0.592      -0.419     -14.672     223.212      -7.421
     44.000       6.681       3.810       0.078     -96.990     201.288      19.269
     45.000      -1.376       7.122      -0.205    -224.366     -41.794      -9.187
     46.000      -6.200       3.459       0.034    -111.883    -194.348     -28.121
     47.000      -6.307      -3.786      -0.389     109.496    -176.350      15.708
     48.000       7.718       0.761      -0.055     -19.323     225.218       3.622
     49.000       0.013      -8.278       0.134     223.866     -12.839       3.394
     50.000       3.149      -7.547      -0.470     206.478      79.819      -3.481
     51.000       5.978       4.937      -0.231    -129.699     178.818     -13.786
     52.000       7.024       3.037      -0.208     -84.729     208.180     -10.894
     53.000      -0.769      -8.124      -0.033     224.828     -14.778      26.900
     54.000       8.091       0.361       0.436     -32.391     210.680       3.486
     55.000       0.536      -8.304      -0.086     220.704      -6.026     -26.035
     56.000      -7.894      -3.901      -0.514     102.326    -187.804      26.162
     57.000       7.437       2.335       0.005     -79.078     207.841       2.507
     58.000       7.942      -0.241       0.394       3.131     220.062      -1.101
     59.000      -5.821      -5.912       0.098     161.815    -162.272      -6.504
     60.000      -1.157      -8.151       0.299     223.386     -26.337      15.792
     61.000      -7.535      -4.075      -0.468     109.708    -194.106       1.175
     62.000      -2.110       6.894       0.167    -218.773     -64.782      14.812
     63.000       7.301       2.620       0.006     -87.949     205.094       1.750
     64.000      -8.398       0.460      -0.701      -4.133    -223.925      43.471
     65.000      -0.304      -8.168      -0.716     221.563     -23.037       0.483
     66.000       2.659      -7.888       0.173     211.580      59.966     -15.445
     67.000      -3.481      -7.424      -0.226     202.209    -103.984      21.488
     68.000       3.700       6.777      -0.079    -188.935     111.734     -10.072
     69.000       3.137      -7.630       0.833     202.485      72.333      23.146
     70.000      -2.786       6.356       0.316    -218.562     -84.423     -15.466
     71.000      -1.035       6.798      -0.001    -238.539     -31.376      -2.647
     72.000       3.507       6.860      -0.590    -190.645     102.554       6.226
     73.000       1.933      -7.896       0.502     213.908      45.115      40.509
     74.000      -7.695       4.732      -0.269    -105.447    -193.091      -7.705
     75.000      -3.158      -7.597       0.646     211.229     -73.099      11.945
     76.000      -6.164       6.933       0.118    -165.135    -139.791     -16.519
     77.000      -7.110      -5.396      -0.231     137.039    -163.737       0.442
     78.000       6.617      -4.519      -0.307     124.565     179.004     -32.693
     79.000       3.537      -7.019       0.529     203.772      99.881     -25.914
     80.000       8.179      -0.128      -0.071     -11.415     213.843       2.893
     81.000       2.824       7.049       0.008    -204.578      86.656      -0.663
     82.000      -2.808      -7.859       0.314     215.626     -55.400      -4.430
     83.000       0.314       6.908      -0.101    -238.516      10.871      18.453
     84.000       6.895      -3.136       0.091     101.100     211.921       2.066
     85.000       7.033       3.127      -0.395     -83.276     203.772      29.946
     86.000       2.455       7.090       0.644    -207.918      70.032      13.596
     87.000       7.308      -2.565       0.090      78.755     215.045       9.057
     88.000       7.189       2.877       0.011     -90.795     204.779       2.455
     89.000       7.327       2.387      -0.668     -69.110     209.013      16.920
     90.000       6.104       4.263      -0.092    -150.445     172.838     -19.794
     91.000      -8.465      -1.848      -0.627      51.886    -214.296      17.344
     92.000      -2.590      -7.843       0.064     215.225     -60.423     -24.775
     93.000      -3.762      -7.170       0.561     198.051    -114.676      17.855
     94.000      -2.228      -7.877      -0.675     217.274     -58.362      -6.976
     95.000       6.435       4.003       0.250    -130.628     184.629      -0.354
     96.000      -8.794       0.424       0.047      -5.184    -222.665       0.170
     97.000       7.530      -3.717       0.149      92.094     189.833     -10.722
