# Time in Gyr = 0.880
#        num          x          y           z          vx           vy           vz
      0.000       7.705      -2.304       0.000      65.093     214.245       0.000
      1.000      -6.566       3.130       0.057    -112.640    -196.416      -1.456
      2.000       5.468      -5.957       0.522     167.257     150.354       1.276
      3.000      -5.836       4.428      -0.037    -136.212    -179.076      13.500
      4.000       1.196      -8.247      -0.338     221.786      28.724     -16.524
      5.000      -1.411       7.008      -0.208    -231.217     -43.474      -3.328
      6.000       7.813      -1.722       0.059      51.072     219.943      -0.537
      7.000       7.120       3.311      -0.219     -87.843     206.418      -8.410
      8.000       7.719      -1.739       0.057      54.760     221.551      11.161
      9.000      -5.310       4.743      -0.479    -162.915    -160.177     -20.374
     10.000      -3.055       6.933      -0.467    -196.708     -94.822       4.280
     11.000      -6.338       7.245      -0.868    -157.850    -131.104     -42.503
     12.000       7.694       1.825      -0.158     -48.338     218.958     -11.002
     13.000       4.071       6.692       0.100    -185.621     120.282       4.759
     14.000       4.680      -6.748      -0.177     185.690     125.337      17.675
     15.000       4.296      -7.190      -0.223     192.667     109.223      -3.116
     16.000       6.481       4.402       0.097    -122.098     182.418     -35.028
     17.000       6.739      -5.092      -0.039     133.605     171.013      -4.927
     18.000       1.729      -8.330      -0.040     219.306      27.599       1.372
     19.000       6.620       4.227      -0.005    -106.665     197.868      -0.754
     20.000       4.017       6.076      -0.823    -196.878     117.960      19.812
     21.000       4.900       5.862      -0.070    -176.965     141.320      11.169
     22.000      -0.935      -8.279      -0.274     222.491     -28.738      23.361
     23.000       6.414      -3.851      -0.269     128.568     205.088       2.859
     24.000      -0.152      -7.958       0.490     229.578      11.894      34.884
     25.000      -4.591       8.598      -0.161    -185.928    -104.375      -2.482
     26.000       3.122       7.044      -0.245    -202.742      90.198     -18.027
     27.000      -8.029      -3.584       0.104      94.940    -201.717      11.789
     28.000       7.716      -1.716      -0.439      56.409     218.240      18.093
     29.000       3.495      -7.625       0.390     202.888      85.281      17.440
     30.000      -4.228      -5.639      -0.127     181.759    -129.128      -8.113
     31.000       6.772      -3.450       0.085     112.103     210.443       3.306
     32.000      -9.379      -1.250       0.212      29.956    -205.022     -24.681
     33.000      -0.814      -8.030      -0.498     224.873     -18.759      43.995
     34.000       8.005       0.431       0.255     -14.161     219.337      21.778
     35.000      -5.462      -6.632      -0.012     174.595    -141.852       5.395
     36.000      -0.990       7.292      -0.219    -226.235     -29.401      15.880
     37.000       0.225      -8.412       0.063     224.893       5.407      -0.869
     38.000       2.453       7.298       0.133    -212.538      71.890       4.609
     39.000       2.292       7.222      -0.092    -217.460      67.083       0.818
     40.000       3.416       6.977       0.549    -195.238      98.613      -9.235
     41.000      -7.550      -4.365       0.183     115.505    -191.739       8.137
     42.000      -9.172       1.869       0.527     -42.890    -207.935     -13.501
     43.000       6.212       4.750      -0.331    -132.758     178.061      15.550
     44.000       3.725       7.030       0.346    -185.797     109.561       4.949
     45.000      -5.373       4.967      -0.212    -156.739    -163.233       8.535
     46.000      -7.077      -0.876      -0.420      26.831    -221.621     -11.712
     47.000      -3.049      -6.412       0.103     203.430     -72.940      27.241
     48.000       6.085       4.910       0.037    -138.285     176.466       4.359
     49.000       4.349      -7.339       0.121     192.262     101.639      -4.473
     50.000       6.725      -4.839      -0.312     130.716     175.022      17.647
     51.000       2.502       7.570      -0.332    -201.407      73.788       4.441
     52.000       4.161       6.536      -0.261    -185.090     122.552       6.102
     53.000       3.674      -7.175       0.431     201.863     105.987      14.787
     54.000       6.144       4.403       0.273    -154.232     168.813     -18.734
     55.000       4.727      -7.269      -0.491     184.197     103.760     -11.452
     56.000      -4.877      -7.051       0.155     188.402    -113.468      34.623
     57.000       4.636       5.923       0.041    -188.644     132.241       0.554
     58.000       6.724       4.051       0.170    -119.826     187.857     -19.165
     59.000      -1.884      -8.182      -0.061     219.033     -57.907      -7.721
     60.000       3.375      -7.436       0.426     206.163      94.304      -4.335
     61.000      -4.386      -7.294      -0.251     192.985    -114.490      18.883
     62.000      -5.880       4.295       0.285    -137.015    -179.661      -4.518
     63.000       4.362       6.085       0.030    -194.350     125.009       0.222
     64.000      -7.305      -3.915       0.343     110.945    -198.244      51.882
     65.000       4.010      -7.464      -0.423     195.086      89.909      26.638
     66.000       6.383      -5.596      -0.175     145.539     158.874     -15.465
     67.000       0.960      -8.339       0.252     221.628      15.487      20.834
     68.000      -0.561       7.779      -0.192    -216.598     -15.748       0.175
     69.000       6.636      -5.172       0.944     133.816     162.703     -12.436
     70.000      -6.340       3.457      -0.145    -120.895    -190.307     -23.641
     71.000      -5.311       4.761      -0.038    -168.503    -160.384      -0.525
     72.000      -0.805       7.682      -0.179    -214.356     -25.965      30.482
     73.000       5.788      -5.883       1.012     157.247     147.065       7.479
     74.000      -8.805       0.430      -0.296      -1.458    -225.364       5.335
     75.000       1.400      -7.893       0.586     224.394      46.071     -17.839
     76.000      -8.686       3.423      -0.219     -79.204    -199.806     -14.259
     77.000      -3.564      -7.890      -0.123     206.739     -76.436       9.602
     78.000       8.000      -0.420      -0.723      10.105     217.867      -6.233
     79.000       6.898      -3.951      -0.179     115.986     192.141     -36.804
     80.000       6.688       4.009       0.017    -133.386     181.340       4.815
     81.000      -1.579       7.471      -0.008    -216.041     -46.074      -0.671
     82.000       1.784      -7.758       0.080     222.988      67.434     -16.724
     83.000      -4.241       5.652       0.250    -195.296    -129.021      11.161
     84.000       7.622       1.482       0.063     -30.799     227.330      -4.339
     85.000       4.250       6.506       0.317    -182.358     119.298      32.608
     86.000      -1.954       7.194       0.553    -212.349     -60.572     -21.972
     87.000       7.606       1.940       0.180     -49.243     220.620      -0.960
     88.000       4.199       6.312       0.043    -194.166     120.958       0.186
     89.000       4.738       6.027      -0.040    -176.227     133.861      39.224
     90.000       2.126       6.720      -0.337    -233.061      61.245      -1.547
     91.000      -6.366      -5.743      -0.080     152.366    -162.559      33.734
     92.000       1.975      -7.828      -0.383     219.852      62.562     -14.876
