# Time in Gyr = 0.470
#        num          x          y           z          vx           vy           vz
      0.000       6.123       5.172       0.000    -145.667     170.983       0.000
      1.000      -4.923       5.885       0.030    -167.172    -133.826       3.331
      2.000       7.649       3.081      -0.077     -85.520     203.223      26.286
      3.000      -4.167       5.999      -0.121    -184.850    -129.136      11.260
      4.000       8.331       0.651       0.241     -21.152     222.029     -20.191
      5.000      -2.106       7.369      -0.222    -214.052     -49.608       1.758
      6.000       6.109       5.349      -0.014    -148.681     165.630      -3.304
      7.000       4.064       6.819      -0.067    -194.118     107.584      14.233
      8.000       6.248       5.341       0.114    -146.692     163.508      -9.479
      9.000      -4.048       6.469      -0.161    -185.260    -104.942      31.761
     10.000      -2.220       6.823       0.090    -216.588     -79.144      26.869
     11.000       3.249      -8.762       1.019     202.161      62.404      38.498
     12.000       4.596       6.480      -0.093    -183.929     126.376      13.122
     13.000       1.788       7.510       0.127    -220.155      43.976       1.266
     14.000       7.897       2.482      -0.177     -69.930     210.884     -17.579
     15.000       7.882       2.194       0.223     -63.622     217.554       1.959
     16.000       3.170       6.999       0.420    -205.622      88.681      27.110
     17.000       6.972       3.795      -0.050    -110.086     202.911       4.811
     18.000       8.001       0.154       0.045     -14.661     234.044      -0.443
     19.000       4.116       6.914      -0.010    -195.509      99.405      -0.388
     20.000       0.694       7.530      -0.235    -218.581      34.881     -46.509
     21.000       1.600       7.506       0.147    -219.366      52.309       7.976
     22.000       8.408      -0.565      -0.526      10.568     221.486       9.095
     23.000       7.673       4.239       0.307    -108.808     175.916      -1.459
     24.000       8.856       0.305       0.779     -10.667     205.761      22.621
     25.000       1.677      -9.636      -0.158     209.196      36.899      -2.737
     26.000       0.817       7.564      -0.148    -223.719      21.941      21.458
     27.000       7.369      -5.112      -0.178     122.544     181.028       9.422
     28.000       6.216       5.226      -0.156    -146.704     163.180     -28.013
     29.000       7.981       1.584      -0.288     -48.048     221.654      21.921
     30.000      -6.942       0.904       0.180     -22.158    -223.345      -0.209
     31.000       7.369       4.435       0.024    -115.767     176.170      -5.475
     32.000       7.274      -5.685      -0.325     141.246     159.153     -22.777
     33.000       8.664      -0.409       0.348       4.463     209.993      44.920
     34.000       4.865       6.077      -0.426    -176.421     141.750     -12.322
     35.000       8.211      -3.040      -0.070      73.392     208.291      -4.140
     36.000      -1.652       7.351       0.215    -218.170     -45.464      16.184
     37.000       8.524       0.140      -0.065      -6.291     222.031       0.567
     38.000       0.395       7.667       0.155    -224.777      10.621       0.434
     39.000       0.191       7.676      -0.087    -224.398       9.257       1.708
     40.000       1.219       7.443      -0.559    -223.385      30.504       5.202
     41.000       7.569      -4.701      -0.122     112.907     187.683      10.600
     42.000       5.921      -7.102      -0.076     170.155     131.610     -26.193
     43.000       2.861       7.193       0.404    -209.204      80.902      -9.427
     44.000       1.751       7.447       0.033    -221.755      36.066     -19.744
     45.000      -3.967       6.286      -0.220    -189.180    -117.383       7.978
     46.000      -6.060       3.762      -0.467    -116.804    -190.241      -0.715
     47.000      -7.076       0.454      -0.229       6.591    -216.307      24.730
     48.000       2.876       7.269       0.077    -209.637      79.454       1.786
     49.000       7.710       1.973      -0.139     -61.508     224.579       2.218
     50.000       7.020       3.778      -0.155    -109.068     199.066     -23.239
     51.000       1.108       7.492       0.056    -225.439      17.810      18.894
     52.000       1.614       7.486       0.087    -220.632      42.019      15.381
     53.000       8.202       2.210      -0.215     -59.253     208.126      23.690
     54.000       1.374       7.453      -0.322    -217.548      69.169      14.375
     55.000       7.482       1.915       0.231     -62.975     228.423     -24.356
     56.000       8.652      -2.245       0.555      54.150     203.495      24.198
     57.000       1.024       7.615       0.039    -221.443      43.709      -0.634
     58.000       2.884       7.170      -0.300    -207.668      89.835      13.048
     59.000       8.327      -1.222       0.123      24.939     224.631       4.995
     60.000       8.242       2.003       0.019     -54.607     211.381      21.757
     61.000       8.368      -2.397      -0.449      57.340     211.730       7.273
     62.000      -4.271       6.043       0.279    -182.482    -126.992      -6.063
     63.000       0.940       7.623       0.030    -221.623      41.321      -0.400
     64.000       7.123      -5.076       1.113     115.476     181.986     -24.468
     65.000       7.619       1.828      -0.670     -58.482     224.369       8.896
     66.000       7.121       3.424       0.283    -101.248     208.065       9.848
     67.000       8.191       0.101      -0.331      -9.442     227.367      17.769
     68.000      -0.850       7.366      -0.181    -225.766     -36.252       2.622
     69.000       6.748       3.612       0.923    -109.940     203.689       1.660
     70.000      -4.745       5.915      -0.389    -169.901    -130.568     -10.562
     71.000      -4.130       6.568      -0.008    -185.569    -105.387      -2.341
     72.000      -1.094       7.215       0.447    -224.990     -41.103     -20.565
     73.000       7.296       2.863       0.927     -88.035     208.925      15.415
     74.000       5.842      -7.079      -0.323     160.967     144.690      -0.707
     75.000       8.607       0.943       0.725     -25.224     210.534      -4.185
     76.000       5.041      -7.733      -0.313     185.084     114.003     -10.369
     77.000       8.968      -0.911      -0.146      26.828     209.592      -8.652
     78.000       5.329       5.627       0.158    -163.078     155.753     -36.436
     79.000       7.020       4.166       0.576    -115.853     185.321     -23.888
     80.000       2.145       7.315       0.079    -214.198      83.952       1.756
     81.000      -1.647       7.226      -0.001    -220.592     -56.326      -0.724
     82.000       8.769       1.627       0.229     -38.319     203.905      11.297
     83.000      -3.696       6.760       0.323    -192.945     -93.744       1.082
     84.000       5.246       6.274      -0.053    -174.054     130.919      -4.770
     85.000       1.667       7.352      -0.581    -220.579      43.060     -19.789
     86.000      -1.996       6.972      -0.621    -217.985     -63.355      14.658
     87.000       4.787       6.426      -0.024    -181.116     127.400     -10.116
     88.000       1.028       7.636       0.043    -221.907      38.360      -0.616
     89.000       1.546       7.396      -0.523    -219.446      46.746     -26.854
     90.000      -0.990       7.710       0.101    -219.258      -5.236      19.528
     91.000       8.016      -3.712       0.368      86.238     198.286      28.191
     92.000       8.509       1.336       0.208     -34.644     211.400     -21.922
     93.000       8.075      -0.189       0.662      -5.203     229.436       2.746
     94.000       8.299       1.293      -0.694     -37.819     216.043       6.441
     95.000       0.089       7.671      -0.192    -222.910      15.546      -9.689
     96.000       7.413      -4.970       0.018     118.370     185.186       2.144
     97.000       4.183       6.358      -0.082    -187.252     139.093      13.019
     98.000       6.749       4.019       0.047    -117.756     201.341      -5.134
     99.000       8.139      -1.310       0.479      26.178     218.116     -53.823
